Flower Name,MRP (₹),Qty Sold (kg),Weather,Customer Segment,Revenue,Profit Margin,Sale Frequency,Weather Impact Score,Customer Segment Score,Start DateTime,End DateTime,Demand,Sales Duration (hours),Profit Percentage,Cluster
6,84,200.0,Rainy,6,16800.0,3360.0,242,5,8.0,2023-08-10 10:59:28,2023-08-13 10:59:28,High,72.0,20.0,0
3,211,18.0,Sunny,3,3798.0,759.6,300,10,9.0,2023-06-04 22:06:20,2023-06-05 01:06:20,Low,3.0,20.0,0
3,190,10.0,Sunny,2,1900.0,380.0,300,10,7.0,2023-01-29 23:08:38,2023-01-30 15:08:38,Low,16.0,20.0,0
8,119,111.0,Sunny,1,13209.0,2641.8,293,10,7.0,2023-11-29 05:05:44,2023-12-01 18:05:44,Medium,61.0,20.0,0
6,134,131.0,Sunny,6,17554.0,3510.8,242,10,8.0,2023-09-17 03:20:19,2023-09-17 15:20:19,Medium,12.0,20.0,0
6,140,190.0,Cloudy,6,26600.0,5320.0,242,7,8.0,2023-08-29 21:13:14,2023-09-01 01:13:14,High,52.0,20.0,0
1,193,118.0,Sunny,2,22774.0,4554.8,283,10,7.0,2023-09-07 11:42:46,2023-09-07 23:42:46,Medium,12.0,20.0,0
0,282,10.0,Windy,4,2820.0,564.0,298,6,7.0,2023-04-20 14:11:56,2023-04-21 19:11:56,Low,29.0,20.0,0
5,141,34.0,Cloudy,4,4794.0,958.8,264,7,7.0,2023-08-25 21:24:41,2023-08-27 05:24:41,Low,32.0,20.0,0
8,110,81.0,Sunny,0,8910.0,1782.0,293,10,7.0,2023-01-09 11:22:56,2023-01-12 10:22:56,Low,71.0,20.0,0
3,184,108.0,Windy,6,19872.0,3974.4,300,6,8.0,2023-08-03 17:40:26,2023-08-05 17:40:26,Medium,48.0,20.0,0
14,150,119.0,Sunny,4,17850.0,3570.0,281,10,7.0,2023-11-13 20:23:32,2023-11-14 00:23:32,Medium,4.0,20.0,0
16,272,111.0,Windy,5,30192.0,6038.400000000001,257,6,7.0,2023-02-23 07:59:38,2023-02-26 05:59:38,Medium,70.0,20.0,1
9,173,97.0,Cloudy,5,16781.0,3356.2000000000003,284,7,7.0,2023-04-27 00:58:08,2023-04-27 07:58:08,Low,7.0,20.0,0
1,136,195.0,Sunny,2,26520.0,5304.0,283,10,7.0,2023-03-12 21:16:57,2023-03-14 11:16:57,High,38.0,20.0,0
2,179,148.0,Sunny,3,26492.0,5298.400000000001,269,10,9.0,2023-08-15 20:04:53,2023-08-17 21:04:53,Medium,49.0,20.0,0
5,126,148.0,Windy,5,18648.0,3729.6,264,6,7.0,2023-09-05 22:07:21,2023-09-08 18:07:21,Medium,68.0,20.0,0
13,235,100.0,Sunny,6,23500.0,4700.0,284,10,8.0,2023-02-07 05:45:20,2023-02-07 18:45:20,Low,13.0,20.0,0
0,228,27.0,Rainy,4,6156.0,1231.2,298,5,7.0,2023-08-14 21:44:31,2023-08-16 20:44:31,Low,47.0,20.0,0
0,226,92.0,Sunny,8,20792.0,4158.400000000001,298,10,7.0,2023-03-14 11:43:06,2023-03-14 22:43:06,Low,11.0,20.000000000000004,0
4,158,165.0,Cloudy,2,26070.0,5214.0,285,7,7.0,2023-11-12 21:37:37,2023-11-13 18:37:37,High,21.0,20.0,0
2,118,107.0,Windy,6,12626.0,2525.2000000000003,269,6,8.0,2023-02-17 11:37:32,2023-02-18 23:37:32,Medium,36.0,20.0,0
9,193,10.0,Rainy,4,1930.0,386.0,284,5,7.0,2023-02-13 02:02:35,2023-02-15 19:02:35,Low,65.0,20.0,0
3,207,145.0,Windy,3,30015.0,6003.0,300,6,9.0,2023-12-30 07:44:20,2024-01-01 17:44:20,Medium,58.0,20.0,0
12,330,65.0,Windy,1,21450.0,4290.0,289,6,7.0,2023-01-15 00:29:37,2023-01-15 14:29:37,Low,14.0,20.0,0
14,100,72.0,Cloudy,1,7200.0,1440.0,281,7,7.0,2023-12-05 00:55:57,2023-12-07 15:55:57,Low,63.0,20.0,0
14,166,143.0,Rainy,4,23738.0,4747.6,281,5,7.0,2023-09-18 15:28:40,2023-09-21 15:28:40,Medium,72.0,20.0,0
0,295,52.0,Rainy,2,15340.0,3068.0,298,5,7.0,2023-07-30 22:13:53,2023-07-31 22:13:53,Low,24.0,20.0,0
16,230,10.0,Cloudy,8,2300.0,460.0,257,7,7.0,2023-12-03 03:09:32,2023-12-04 08:09:32,Low,29.0,20.0,1
12,341,36.0,Windy,6,12276.0,2455.2000000000003,289,6,8.0,2023-09-27 06:02:08,2023-09-28 13:02:08,Low,31.0,20.0,0
7,128,215.0,Sunny,4,27520.0,5504.0,273,10,7.0,2023-01-30 16:56:02,2023-02-01 04:56:02,High,36.0,20.0,0
13,220,109.0,Sunny,3,23980.0,4796.0,284,10,9.0,2023-12-09 23:22:01,2023-12-11 05:22:01,Medium,30.0,20.0,0
1,161,97.0,Rainy,4,15617.0,3123.4,283,5,7.0,2023-07-26 13:53:37,2023-07-27 13:53:37,Low,24.0,20.0,0
12,292,10.0,Windy,0,2920.0,584.0,289,6,7.0,2023-11-14 22:58:23,2023-11-15 19:58:23,Low,21.0,20.0,0
12,306,91.0,Rainy,7,27846.0,5569.200000000001,289,5,6.0,2023-03-04 07:30:46,2023-03-05 22:30:46,Low,39.0,20.000000000000004,0
4,126,155.0,Windy,1,19530.0,3906.0,285,6,7.0,2023-02-27 21:25:26,2023-02-28 22:25:26,High,25.0,20.0,0
9,231,36.0,Rainy,8,8316.0,1663.2,284,5,7.0,2023-10-06 04:59:28,2023-10-08 04:59:28,Low,48.0,20.0,0
6,147,242.0,Cloudy,3,35574.0,7114.8,242,7,9.0,2023-10-10 11:51:00,2023-10-11 23:51:00,High,36.0,20.0,0
7,96,228.0,Cloudy,8,21888.0,4377.6,273,7,7.0,2023-09-27 09:35:34,2023-09-27 19:35:34,High,10.0,20.0,0
11,143,188.0,Sunny,0,26884.0,5376.8,284,10,7.0,2023-08-09 05:54:48,2023-08-11 17:54:48,High,60.0,20.0,0
17,105,198.0,Cloudy,8,20790.0,4158.0,277,7,7.0,2023-04-16 22:10:56,2023-04-17 19:10:56,High,21.0,20.0,0
10,192,106.0,Sunny,0,20352.0,4070.4,280,10,7.0,2023-05-29 04:39:20,2023-05-29 05:39:20,Medium,1.0,20.0,0
15,128,47.0,Cloudy,2,6016.0,1203.2,257,7,7.0,2023-06-20 14:12:55,2023-06-22 17:12:55,Low,51.0,20.0,0
0,290,99.0,Windy,1,28710.0,5742.0,298,6,7.0,2023-06-20 09:41:41,2023-06-20 15:41:41,Low,6.0,20.0,0
9,232,67.0,Sunny,1,15544.0,3108.8,284,10,7.0,2023-05-07 02:14:17,2023-05-07 04:14:17,Low,2.0,20.0,0
9,172,10.0,Sunny,3,1720.0,344.0,284,10,9.0,2023-07-21 09:25:27,2023-07-22 16:25:27,Low,31.0,20.0,0
7,109,183.0,Windy,5,19947.0,3989.4,273,6,7.0,2023-12-20 12:14:23,2023-12-20 14:14:23,High,2.0,20.0,0
0,279,81.0,Cloudy,5,22599.0,4519.8,298,7,7.0,2023-04-10 19:18:40,2023-04-12 14:18:40,Low,43.0,20.0,0
4,149,218.0,Windy,3,32482.0,6496.400000000001,285,6,9.0,2023-03-06 17:33:11,2023-03-07 20:33:11,High,27.0,20.0,0
4,142,207.0,Sunny,2,29394.0,5878.8,285,10,7.0,2023-10-01 12:49:13,2023-10-04 00:49:13,High,60.0,20.0,0
16,295,30.0,Sunny,6,8850.0,1770.0,257,10,8.0,2023-07-01 21:17:29,2023-07-03 02:17:29,Low,29.0,20.0,1
5,166,75.0,Windy,5,12450.0,2490.0,264,6,7.0,2023-01-07 11:33:48,2023-01-08 00:33:48,Low,13.0,20.0,0
8,135,87.0,Windy,2,11745.0,2349.0,293,6,7.0,2023-01-10 10:23:34,2023-01-10 13:23:34,Low,3.0,20.0,0
12,294,86.0,Sunny,5,25284.0,5056.8,289,10,7.0,2023-10-10 13:47:08,2023-10-12 19:47:08,Low,54.0,20.0,0
13,244,66.0,Windy,7,16104.0,3220.8,284,6,6.0,2023-10-29 15:29:53,2023-10-30 13:29:53,Low,22.0,20.0,0
5,136,172.0,Cloudy,0,23392.0,4678.400000000001,264,7,7.0,2023-10-01 00:53:30,2023-10-01 20:53:30,High,20.0,20.0,0
5,171,175.0,Sunny,8,29925.0,5985.0,264,10,7.0,2023-07-31 15:26:35,2023-08-02 05:26:35,High,38.0,20.0,0
16,266,76.0,Rainy,0,20216.0,4043.2,257,5,7.0,2023-10-14 22:15:50,2023-10-15 19:15:50,Low,21.0,20.0,1
2,184,117.0,Rainy,1,21528.0,4305.6,269,5,7.0,2023-05-16 20:05:04,2023-05-19 03:05:04,Medium,55.0,20.0,0
8,138,106.0,Rainy,5,14628.0,2925.6000000000004,293,5,7.0,2023-02-25 12:38:48,2023-02-27 16:38:48,Medium,52.0,20.0,0
1,201,138.0,Cloudy,5,27738.0,5547.6,283,7,7.0,2023-01-03 02:42:41,2023-01-03 13:42:41,Medium,11.0,20.0,0
9,211,50.0,Windy,0,10550.0,2110.0,284,6,7.0,2023-07-01 05:07:22,2023-07-02 00:07:22,Low,19.0,20.0,0
6,106,222.0,Rainy,5,23532.0,4706.400000000001,242,5,7.0,2023-12-02 01:46:29,2023-12-02 14:46:29,High,13.0,20.0,0
11,161,215.0,Sunny,6,34615.0,6923.0,284,10,8.0,2023-08-05 11:19:35,2023-08-07 00:19:35,High,37.0,20.0,0
11,175,232.0,Windy,4,40600.0,8120.0,284,6,7.0,2023-05-19 13:18:31,2023-05-20 13:18:31,High,24.0,20.0,0
2,112,97.0,Cloudy,8,10864.0,2172.8,269,7,7.0,2023-11-20 19:26:12,2023-11-21 06:26:12,Low,11.0,20.0,0
0,241,130.0,Rainy,0,31330.0,6266.0,298,5,7.0,2023-02-03 21:04:16,2023-02-06 07:04:16,Medium,58.0,20.0,0
15,131,45.0,Rainy,8,5895.0,1179.0,257,5,7.0,2023-03-02 18:13:41,2023-03-04 19:13:41,Low,49.0,20.0,0
0,282,94.0,Sunny,3,26508.0,5301.6,298,10,9.0,2023-04-01 07:29:12,2023-04-03 17:29:12,Low,58.0,20.0,0
1,130,71.0,Sunny,7,9230.0,1846.0,283,10,6.0,2023-08-08 22:32:23,2023-08-11 06:32:23,Low,56.0,20.0,0
13,228,108.0,Sunny,8,24624.0,4924.8,284,10,7.0,2023-05-13 11:11:46,2023-05-16 08:11:46,Medium,69.0,20.0,0
8,150,21.0,Cloudy,1,3150.0,630.0,293,7,7.0,2023-03-09 05:41:29,2023-03-10 10:41:29,Low,29.0,20.0,0
0,230,43.0,Rainy,2,9890.0,1978.0,298,5,7.0,2023-03-11 19:16:03,2023-03-12 06:16:03,Low,11.0,20.0,0
1,184,132.0,Cloudy,4,24288.0,4857.6,283,7,7.0,2023-04-24 07:01:56,2023-04-26 01:01:56,Medium,42.0,20.0,0
0,233,10.0,Rainy,2,2330.0,466.0,298,5,7.0,2023-04-04 18:25:24,2023-04-05 14:25:24,Low,20.0,20.0,0
5,128,119.0,Sunny,1,15232.0,3046.4,264,10,7.0,2023-12-17 22:22:30,2023-12-20 18:22:30,Medium,68.0,20.0,0
7,126,176.0,Cloudy,1,22176.0,4435.2,273,7,7.0,2023-09-15 17:00:09,2023-09-16 02:00:09,High,9.0,20.0,0
5,169,89.0,Windy,6,15041.0,3008.2000000000003,264,6,8.0,2023-08-16 13:17:17,2023-08-17 23:17:17,Low,34.0,20.0,0
2,135,165.0,Rainy,3,22275.0,4455.0,269,5,9.0,2023-08-29 19:07:18,2023-08-30 06:07:18,High,11.0,20.0,0
0,261,11.0,Windy,1,2871.0,574.2,298,6,7.0,2023-10-15 19:41:56,2023-10-16 10:41:56,Low,15.0,20.0,0
8,150,49.0,Cloudy,2,7350.0,1470.0,293,7,7.0,2023-11-18 11:44:40,2023-11-20 04:44:40,Low,41.0,20.0,0
0,258,124.0,Cloudy,2,31992.0,6398.400000000001,298,7,7.0,2023-01-15 05:58:27,2023-01-18 03:58:27,Medium,70.0,20.0,0
11,136,252.0,Sunny,0,34272.0,6854.400000000001,284,10,7.0,2023-08-17 03:36:54,2023-08-18 05:36:54,High,26.0,20.0,0
15,171,142.0,Cloudy,6,24282.0,4856.400000000001,257,7,8.0,2023-05-15 04:04:10,2023-05-16 12:04:10,Medium,32.0,20.0,0
8,144,167.0,Cloudy,7,24048.0,4809.6,293,7,6.0,2023-11-01 11:51:13,2023-11-03 04:51:13,High,41.0,20.0,0
0,225,45.0,Cloudy,0,10125.0,2025.0,298,7,7.0,2023-02-25 16:48:36,2023-02-27 18:48:36,Low,50.0,20.0,0
15,105,128.0,Sunny,7,13440.0,2688.0,257,10,6.0,2023-08-23 10:31:41,2023-08-24 09:31:41,Medium,23.0,20.0,0
12,311,24.0,Sunny,6,7464.0,1492.8000000000002,289,10,8.0,2023-05-24 10:21:27,2023-05-26 21:21:27,Low,59.0,20.0,0
0,238,72.0,Sunny,7,17136.0,3427.2000000000003,298,10,6.0,2023-09-07 21:08:00,2023-09-10 06:08:00,Low,57.0,20.0,0
9,212,34.0,Sunny,8,7208.0,1441.6,284,10,7.0,2023-03-20 01:48:31,2023-03-21 04:48:31,Low,27.0,20.0,0
0,285,10.0,Cloudy,8,2850.0,570.0,298,7,7.0,2023-11-05 17:29:23,2023-11-08 10:29:23,Low,65.0,20.0,0
2,156,110.0,Sunny,8,17160.0,3432.0,269,10,7.0,2023-03-06 02:01:19,2023-03-08 22:01:19,Medium,68.0,20.0,0
17,108,188.0,Cloudy,1,20304.0,4060.8,277,7,7.0,2023-09-20 20:08:54,2023-09-22 21:08:54,High,49.0,20.0,0
2,122,105.0,Windy,5,12810.0,2562.0,269,6,7.0,2023-05-25 01:26:51,2023-05-25 09:26:51,Medium,8.0,20.0,0
14,123,98.0,Rainy,7,12054.0,2410.8,281,5,6.0,2023-06-13 18:27:18,2023-06-16 14:27:18,Low,68.0,20.0,0
6,85,183.0,Rainy,4,15555.0,3111.0,242,5,7.0,2023-01-15 05:53:30,2023-01-16 23:53:30,High,42.0,20.0,0
4,128,111.0,Cloudy,5,14208.0,2841.6000000000004,285,7,7.0,2023-12-16 19:53:09,2023-12-18 03:53:09,Medium,32.0,20.000000000000004,0
12,314,44.0,Sunny,1,13816.0,2763.2000000000003,289,10,7.0,2023-02-20 15:46:01,2023-02-21 11:46:01,Low,20.0,20.0,0
0,259,138.0,Rainy,1,35742.0,7148.400000000001,298,5,7.0,2023-08-04 06:13:56,2023-08-05 10:13:56,Medium,28.0,20.0,0
5,121,153.0,Sunny,8,18513.0,3702.6,264,10,7.0,2023-06-22 10:29:52,2023-06-24 04:29:52,Medium,42.0,20.0,0
1,196,165.0,Cloudy,7,32340.0,6468.0,283,7,6.0,2023-02-03 13:10:59,2023-02-03 20:10:59,High,7.0,20.0,0
5,171,146.0,Cloudy,1,24966.0,4993.200000000001,264,7,7.0,2023-07-31 18:49:29,2023-08-02 09:49:29,Medium,39.0,20.000000000000004,0
0,241,92.0,Sunny,1,22172.0,4434.400000000001,298,10,7.0,2023-03-17 06:25:04,2023-03-18 21:25:04,Low,39.0,20.0,0
13,270,92.0,Cloudy,6,24840.0,4968.0,284,7,8.0,2023-12-23 12:45:56,2023-12-25 22:45:56,Low,58.0,20.0,0
0,241,85.0,Rainy,4,20485.0,4097.0,298,5,7.0,2023-01-25 13:24:41,2023-01-27 21:24:41,Low,56.0,20.0,0
16,282,10.0,Rainy,4,2820.0,564.0,257,5,7.0,2023-11-14 19:42:47,2023-11-17 13:42:47,Low,66.0,20.0,1
0,247,80.0,Windy,1,19760.0,3952.0,298,6,7.0,2023-08-01 22:00:14,2023-08-03 12:00:14,Low,38.0,20.0,0
10,165,63.0,Windy,6,10395.0,2079.0,280,6,8.0,2023-01-28 05:23:58,2023-01-30 07:23:58,Low,50.0,20.0,0
8,96,45.0,Windy,2,4320.0,864.0,293,6,7.0,2023-01-21 15:50:08,2023-01-24 08:50:08,Low,65.0,20.0,0
4,121,201.0,Windy,3,24321.0,4864.2,285,6,9.0,2023-06-13 23:14:26,2023-06-14 23:14:26,High,24.0,20.0,0
14,151,75.0,Sunny,5,11325.0,2265.0,281,10,7.0,2023-05-22 12:44:24,2023-05-25 08:44:24,Low,68.0,20.0,0
6,98,162.0,Rainy,7,15876.0,3175.2000000000003,242,5,6.0,2023-03-11 14:25:49,2023-03-12 03:25:49,High,13.0,20.0,0
11,157,244.0,Sunny,1,38308.0,7661.6,284,10,7.0,2023-08-23 12:08:36,2023-08-23 17:08:36,High,5.0,20.0,0
16,245,35.0,Cloudy,8,8575.0,1715.0,257,7,7.0,2023-02-26 14:56:14,2023-03-01 04:56:14,Low,62.0,20.0,1
2,124,157.0,Windy,4,19468.0,3893.6,269,6,7.0,2023-11-04 16:01:48,2023-11-05 17:01:48,High,25.0,20.0,0
0,235,89.0,Sunny,7,20915.0,4183.0,298,10,6.0,2023-03-11 16:11:30,2023-03-12 07:11:30,Low,15.0,20.0,0
13,246,99.0,Sunny,7,24354.0,4870.8,284,10,6.0,2023-10-17 20:03:03,2023-10-18 14:03:03,Low,18.0,20.0,0
2,154,38.0,Cloudy,2,5852.0,1170.4,269,7,7.0,2023-03-05 13:37:24,2023-03-06 22:37:24,Low,33.0,20.0,0
2,188,44.0,Rainy,7,8272.0,1654.4,269,5,6.0,2023-12-27 00:08:50,2023-12-27 02:08:50,Low,2.0,20.0,0
7,96,102.0,Sunny,5,9792.0,1958.4,273,10,7.0,2023-08-24 14:47:13,2023-08-26 10:47:13,Low,44.0,20.0,0
3,152,89.0,Windy,0,13528.0,2705.6000000000004,300,6,7.0,2023-07-06 03:29:53,2023-07-07 13:29:53,Low,34.0,20.000000000000004,0
1,178,180.0,Cloudy,8,32040.0,6408.0,283,7,7.0,2023-12-08 18:20:31,2023-12-10 01:20:31,High,31.0,20.0,0
8,149,37.0,Cloudy,0,5513.0,1102.6,293,7,7.0,2023-04-10 11:52:26,2023-04-11 12:52:26,Low,25.0,20.0,0
9,239,77.0,Sunny,0,18403.0,3680.6,284,10,7.0,2023-10-12 14:03:19,2023-10-13 16:03:19,Low,26.0,20.0,0
8,90,33.0,Cloudy,0,2970.0,594.0,293,7,7.0,2023-06-24 05:56:15,2023-06-26 04:56:15,Low,47.0,20.0,0
0,221,10.0,Rainy,6,2210.0,442.0,298,5,8.0,2023-08-02 18:22:40,2023-08-03 06:22:40,Low,12.0,20.0,0
8,72,22.0,Sunny,4,1584.0,316.8,293,10,7.0,2023-05-15 23:17:40,2023-05-16 14:17:40,Low,15.0,20.0,0
13,203,10.0,Rainy,0,2030.0,406.0,284,5,7.0,2023-12-28 01:31:51,2023-12-29 13:31:51,Low,36.0,20.0,0
