Flower Name,MRP (₹),Qty Sold (kg),Weather,Customer Segment,Revenue,Profit Margin,Sale Frequency,Weather Impact Score,Customer Segment Score,Start DateTime,End DateTime,Demand,Sales Duration (hours),Profit Percentage
Marigold,142,129.0,Windy,Luxury Events,18318.0,3663.6,284,6,7.0,2023-02-23 10:36:43,2023-02-26 00:36:43,Medium,62.0,20.0
Gerbera,133,200.0,Sunny,Luxury Events,26600.0,5320.0,242,10,7.0,2023-03-15 21:09:31,2023-03-16 00:09:31,High,3.0,20.0
Jasmine,83,80.0,Sunny,Special Events,6640.0,1328.0,293,10,8.0,2023-08-06 05:24:56,2023-08-06 11:24:56,Low,6.0,20.0
Chrysanthemum,161,44.0,Rainy,Temple,7084.0,1416.8000000000002,269,5,6.0,2023-11-02 00:45:17,2023-11-03 05:45:17,Low,29.0,20.000000000000004
Tulip,249,16.0,Rainy,Corporate Events,3984.0,796.8000000000001,257,5,7.0,2023-06-19 16:22:09,2023-06-21 23:22:09,Low,55.0,20.0
Orchid,311,46.0,Sunny,Corporate Events,14306.0,2861.2000000000003,289,10,7.0,2023-10-24 07:51:49,2023-10-24 20:51:49,Low,13.0,20.0
Zinnia,146,58.0,Sunny,Temple,8468.0,1693.6,277,10,6.0,2023-10-27 10:54:18,2023-10-28 14:54:18,Low,28.0,20.0
Orchid,295,89.0,Windy,High-End Customers,26255.0,5251.0,289,6,9.0,2023-06-03 21:40:11,2023-06-06 17:40:11,Low,68.0,20.0
Orchid,290,29.0,Cloudy,Weddings,8410.0,1682.0,289,7,7.0,2023-08-16 12:23:51,2023-08-19 02:23:51,Low,62.0,20.0
Marigold,143,143.0,Rainy,Marriage,20449.0,4089.8,284,5,7.0,2023-01-18 02:46:42,2023-01-18 04:46:42,Medium,2.0,20.0
Dahlia,207,40.0,Windy,Temple,8280.0,1656.0,300,6,6.0,2023-02-22 20:08:11,2023-02-23 03:08:11,Low,7.0,20.0
Lavender,202,20.0,Sunny,Temple,4040.0,808.0,284,10,6.0,2023-11-17 19:32:12,2023-11-18 19:32:12,Low,24.0,20.0
Lily,160,107.0,Rainy,High-End Customers,17120.0,3424.0,280,5,9.0,2023-09-17 05:06:21,2023-09-19 12:06:21,Medium,55.0,20.0
Sunflower,115,90.0,Sunny,Weddings,10350.0,2070.0,257,10,7.0,2023-08-06 06:53:38,2023-08-08 20:53:38,Low,62.0,20.0
Lavender,175,79.0,Windy,High-End Customers,13825.0,2765.0,284,6,9.0,2023-11-25 06:33:48,2023-11-27 23:33:48,Low,65.0,20.0
Lavender,243,50.0,Rainy,Festivals,12150.0,2430.0,284,5,7.0,2023-08-25 12:48:09,2023-08-25 19:48:09,Low,7.0,20.0
Jasmine,88,110.0,Cloudy,High-End Customers,9680.0,1936.0,293,7,9.0,2023-10-20 14:45:36,2023-10-23 06:45:36,Medium,64.0,20.0
Orchid,292,85.0,Windy,High-End Customers,24820.0,4964.0,289,6,9.0,2023-07-07 18:19:50,2023-07-10 10:19:50,Low,64.0,20.0
Gerbera,87,146.0,Windy,High-End Customers,12702.0,2540.4,242,6,9.0,2023-08-10 20:12:07,2023-08-11 11:12:07,Medium,15.0,20.0
Hibiscus,84,105.0,Cloudy,Weddings,8820.0,1764.0,273,7,7.0,2023-10-28 14:15:57,2023-10-29 16:15:57,Medium,26.0,20.0
Carnation,152,78.0,Sunny,Marriage,11856.0,2371.2000000000003,283,10,7.0,2023-06-16 04:50:24,2023-06-17 07:50:24,Low,27.0,20.0
Daisy,99,151.0,Sunny,Corporate Events,14949.0,2989.8,285,10,7.0,2023-03-07 22:31:18,2023-03-10 00:31:18,Medium,50.0,20.0
Tulip,290,10.0,Cloudy,Weddings,2900.0,580.0,257,7,7.0,2023-10-05 09:29:16,2023-10-06 22:29:16,Low,37.0,20.0
Orchid,280,10.0,Cloudy,Weddings,2800.0,560.0,289,7,7.0,2023-05-24 02:18:26,2023-05-26 01:18:26,Low,47.0,20.0
Hibiscus,131,117.0,Sunny,Festivals,15327.0,3065.4,273,10,7.0,2023-05-24 05:42:47,2023-05-24 06:42:47,Medium,1.0,20.0
Daisy,95,91.0,Rainy,Temple,8645.0,1729.0,285,5,6.0,2023-02-23 02:46:51,2023-02-24 02:46:51,Low,24.0,20.0
Chrysanthemum,157,91.0,Sunny,Special Events,14287.0,2857.4,269,10,8.0,2023-10-01 21:45:53,2023-10-04 07:45:53,Low,58.0,20.0
Jasmine,119,32.0,Cloudy,Special Events,3808.0,761.6,293,7,8.0,2023-05-11 19:48:27,2023-05-12 18:48:27,Low,23.0,20.0
Lavender,221,111.0,Sunny,Festivals,24531.0,4906.2,284,10,7.0,2023-05-04 07:44:35,2023-05-05 00:44:35,Medium,17.0,20.0
Orchid,324,67.0,Windy,Temple,21708.0,4341.6,289,6,6.0,2023-02-02 16:15:46,2023-02-03 12:15:46,Low,20.0,20.0
Rose,128,156.0,Sunny,Festivals,19968.0,3993.6,281,10,7.0,2023-02-05 22:07:23,2023-02-08 02:07:23,High,52.0,20.0
Zinnia,149,64.0,Sunny,Special Events,9536.0,1907.2,277,10,8.0,2023-10-22 23:47:22,2023-10-23 12:47:22,Low,13.0,20.0
Calla Lily,255,127.0,Cloudy,Luxury Events,32385.0,6477.0,298,7,7.0,2023-10-02 19:39:57,2023-10-04 01:39:57,Medium,30.0,20.0
Gerbera,87,116.0,Cloudy,Weddings,10092.0,2018.4,242,7,7.0,2023-02-24 21:40:19,2023-02-27 18:40:19,Medium,69.0,20.0
Dahlia,214,105.0,Sunny,High-End Customers,22470.0,4494.0,300,10,9.0,2023-04-05 14:54:49,2023-04-05 17:54:49,Medium,3.0,20.0
Lily,198,22.0,Windy,Temple,4356.0,871.2,280,6,6.0,2023-11-15 05:23:16,2023-11-16 10:23:16,Low,29.0,20.0
Orchid,333,10.0,Rainy,Luxury Events,3330.0,666.0,289,5,7.0,2023-05-26 08:22:12,2023-05-26 14:22:12,Low,6.0,20.0
Zinnia,101,209.0,Cloudy,Luxury Events,21109.0,4221.8,277,7,7.0,2023-06-06 23:13:29,2023-06-08 14:13:29,High,39.0,20.0
Carnation,171,93.0,Rainy,High-End Customers,15903.0,3180.6000000000004,283,5,9.0,2023-09-04 06:00:47,2023-09-05 11:00:47,Low,29.0,20.0
Gerbera,84,200.0,Rainy,Special Events,16800.0,3360.0,242,5,8.0,2023-08-10 10:59:28,2023-08-13 10:59:28,High,72.0,20.0
Dahlia,211,18.0,Sunny,High-End Customers,3798.0,759.6,300,10,9.0,2023-06-04 22:06:20,2023-06-05 01:06:20,Low,3.0,20.0
Dahlia,190,10.0,Sunny,Festivals,1900.0,380.0,300,10,7.0,2023-01-29 23:08:38,2023-01-30 15:08:38,Low,16.0,20.0
Jasmine,119,111.0,Sunny,Daily Consumers,13209.0,2641.8,293,10,7.0,2023-11-29 05:05:44,2023-12-01 18:05:44,Medium,61.0,20.0
Gerbera,134,131.0,Sunny,Special Events,17554.0,3510.8,242,10,8.0,2023-09-17 03:20:19,2023-09-17 15:20:19,Medium,12.0,20.0
Gerbera,140,190.0,Cloudy,Special Events,26600.0,5320.0,242,7,8.0,2023-08-29 21:13:14,2023-09-01 01:13:14,High,52.0,20.0
Carnation,193,118.0,Sunny,Festivals,22774.0,4554.8,283,10,7.0,2023-09-07 11:42:46,2023-09-07 23:42:46,Medium,12.0,20.0
Calla Lily,282,10.0,Windy,Luxury Events,2820.0,564.0,298,6,7.0,2023-04-20 14:11:56,2023-04-21 19:11:56,Low,29.0,20.0
Geranium,141,34.0,Cloudy,Luxury Events,4794.0,958.8,264,7,7.0,2023-08-25 21:24:41,2023-08-27 05:24:41,Low,32.0,20.0
Jasmine,110,81.0,Sunny,Corporate Events,8910.0,1782.0,293,10,7.0,2023-01-09 11:22:56,2023-01-12 10:22:56,Low,71.0,20.0
Dahlia,184,108.0,Windy,Special Events,19872.0,3974.4,300,6,8.0,2023-08-03 17:40:26,2023-08-05 17:40:26,Medium,48.0,20.0
Rose,150,119.0,Sunny,Luxury Events,17850.0,3570.0,281,10,7.0,2023-11-13 20:23:32,2023-11-14 00:23:32,Medium,4.0,20.0
Tulip,272,111.0,Windy,Marriage,30192.0,6038.400000000001,257,6,7.0,2023-02-23 07:59:38,2023-02-26 05:59:38,Medium,70.0,20.0
Lavender,173,97.0,Cloudy,Marriage,16781.0,3356.2000000000003,284,7,7.0,2023-04-27 00:58:08,2023-04-27 07:58:08,Low,7.0,20.0
Carnation,136,195.0,Sunny,Festivals,26520.0,5304.0,283,10,7.0,2023-03-12 21:16:57,2023-03-14 11:16:57,High,38.0,20.0
Chrysanthemum,179,148.0,Sunny,High-End Customers,26492.0,5298.400000000001,269,10,9.0,2023-08-15 20:04:53,2023-08-17 21:04:53,Medium,49.0,20.0
Geranium,126,148.0,Windy,Marriage,18648.0,3729.6,264,6,7.0,2023-09-05 22:07:21,2023-09-08 18:07:21,Medium,68.0,20.0
Poppy,235,100.0,Sunny,Special Events,23500.0,4700.0,284,10,8.0,2023-02-07 05:45:20,2023-02-07 18:45:20,Low,13.0,20.0
Calla Lily,228,27.0,Rainy,Luxury Events,6156.0,1231.2,298,5,7.0,2023-08-14 21:44:31,2023-08-16 20:44:31,Low,47.0,20.0
Calla Lily,226,92.0,Sunny,Weddings,20792.0,4158.400000000001,298,10,7.0,2023-03-14 11:43:06,2023-03-14 22:43:06,Low,11.0,20.000000000000004
Daisy,158,165.0,Cloudy,Festivals,26070.0,5214.0,285,7,7.0,2023-11-12 21:37:37,2023-11-13 18:37:37,High,21.0,20.0
Chrysanthemum,118,107.0,Windy,Special Events,12626.0,2525.2000000000003,269,6,8.0,2023-02-17 11:37:32,2023-02-18 23:37:32,Medium,36.0,20.0
Lavender,193,10.0,Rainy,Luxury Events,1930.0,386.0,284,5,7.0,2023-02-13 02:02:35,2023-02-15 19:02:35,Low,65.0,20.0
Dahlia,207,145.0,Windy,High-End Customers,30015.0,6003.0,300,6,9.0,2023-12-30 07:44:20,2024-01-01 17:44:20,Medium,58.0,20.0
Orchid,330,65.0,Windy,Daily Consumers,21450.0,4290.0,289,6,7.0,2023-01-15 00:29:37,2023-01-15 14:29:37,Low,14.0,20.0
Rose,100,72.0,Cloudy,Daily Consumers,7200.0,1440.0,281,7,7.0,2023-12-05 00:55:57,2023-12-07 15:55:57,Low,63.0,20.0
Rose,166,143.0,Rainy,Luxury Events,23738.0,4747.6,281,5,7.0,2023-09-18 15:28:40,2023-09-21 15:28:40,Medium,72.0,20.0
Calla Lily,295,52.0,Rainy,Festivals,15340.0,3068.0,298,5,7.0,2023-07-30 22:13:53,2023-07-31 22:13:53,Low,24.0,20.0
Tulip,230,10.0,Cloudy,Weddings,2300.0,460.0,257,7,7.0,2023-12-03 03:09:32,2023-12-04 08:09:32,Low,29.0,20.0
Orchid,341,36.0,Windy,Special Events,12276.0,2455.2000000000003,289,6,8.0,2023-09-27 06:02:08,2023-09-28 13:02:08,Low,31.0,20.0
Hibiscus,128,215.0,Sunny,Luxury Events,27520.0,5504.0,273,10,7.0,2023-01-30 16:56:02,2023-02-01 04:56:02,High,36.0,20.0
Poppy,220,109.0,Sunny,High-End Customers,23980.0,4796.0,284,10,9.0,2023-12-09 23:22:01,2023-12-11 05:22:01,Medium,30.0,20.0
Carnation,161,97.0,Rainy,Luxury Events,15617.0,3123.4,283,5,7.0,2023-07-26 13:53:37,2023-07-27 13:53:37,Low,24.0,20.0
Orchid,292,10.0,Windy,Corporate Events,2920.0,584.0,289,6,7.0,2023-11-14 22:58:23,2023-11-15 19:58:23,Low,21.0,20.0
Orchid,306,91.0,Rainy,Temple,27846.0,5569.200000000001,289,5,6.0,2023-03-04 07:30:46,2023-03-05 22:30:46,Low,39.0,20.000000000000004
Daisy,126,155.0,Windy,Daily Consumers,19530.0,3906.0,285,6,7.0,2023-02-27 21:25:26,2023-02-28 22:25:26,High,25.0,20.0
Lavender,231,36.0,Rainy,Weddings,8316.0,1663.2,284,5,7.0,2023-10-06 04:59:28,2023-10-08 04:59:28,Low,48.0,20.0
Gerbera,147,242.0,Cloudy,High-End Customers,35574.0,7114.8,242,7,9.0,2023-10-10 11:51:00,2023-10-11 23:51:00,High,36.0,20.0
Hibiscus,96,228.0,Cloudy,Weddings,21888.0,4377.6,273,7,7.0,2023-09-27 09:35:34,2023-09-27 19:35:34,High,10.0,20.0
Marigold,143,188.0,Sunny,Corporate Events,26884.0,5376.8,284,10,7.0,2023-08-09 05:54:48,2023-08-11 17:54:48,High,60.0,20.0
Zinnia,105,198.0,Cloudy,Weddings,20790.0,4158.0,277,7,7.0,2023-04-16 22:10:56,2023-04-17 19:10:56,High,21.0,20.0
Lily,192,106.0,Sunny,Corporate Events,20352.0,4070.4,280,10,7.0,2023-05-29 04:39:20,2023-05-29 05:39:20,Medium,1.0,20.0
Sunflower,128,47.0,Cloudy,Festivals,6016.0,1203.2,257,7,7.0,2023-06-20 14:12:55,2023-06-22 17:12:55,Low,51.0,20.0
Calla Lily,290,99.0,Windy,Daily Consumers,28710.0,5742.0,298,6,7.0,2023-06-20 09:41:41,2023-06-20 15:41:41,Low,6.0,20.0
Lavender,232,67.0,Sunny,Daily Consumers,15544.0,3108.8,284,10,7.0,2023-05-07 02:14:17,2023-05-07 04:14:17,Low,2.0,20.0
Lavender,172,10.0,Sunny,High-End Customers,1720.0,344.0,284,10,9.0,2023-07-21 09:25:27,2023-07-22 16:25:27,Low,31.0,20.0
Hibiscus,109,183.0,Windy,Marriage,19947.0,3989.4,273,6,7.0,2023-12-20 12:14:23,2023-12-20 14:14:23,High,2.0,20.0
Calla Lily,279,81.0,Cloudy,Marriage,22599.0,4519.8,298,7,7.0,2023-04-10 19:18:40,2023-04-12 14:18:40,Low,43.0,20.0
Daisy,149,218.0,Windy,High-End Customers,32482.0,6496.400000000001,285,6,9.0,2023-03-06 17:33:11,2023-03-07 20:33:11,High,27.0,20.0
Daisy,142,207.0,Sunny,Festivals,29394.0,5878.8,285,10,7.0,2023-10-01 12:49:13,2023-10-04 00:49:13,High,60.0,20.0
Tulip,295,30.0,Sunny,Special Events,8850.0,1770.0,257,10,8.0,2023-07-01 21:17:29,2023-07-03 02:17:29,Low,29.0,20.0
Geranium,166,75.0,Windy,Marriage,12450.0,2490.0,264,6,7.0,2023-01-07 11:33:48,2023-01-08 00:33:48,Low,13.0,20.0
Jasmine,135,87.0,Windy,Festivals,11745.0,2349.0,293,6,7.0,2023-01-10 10:23:34,2023-01-10 13:23:34,Low,3.0,20.0
Orchid,294,86.0,Sunny,Marriage,25284.0,5056.8,289,10,7.0,2023-10-10 13:47:08,2023-10-12 19:47:08,Low,54.0,20.0
Poppy,244,66.0,Windy,Temple,16104.0,3220.8,284,6,6.0,2023-10-29 15:29:53,2023-10-30 13:29:53,Low,22.0,20.0
Geranium,136,172.0,Cloudy,Corporate Events,23392.0,4678.400000000001,264,7,7.0,2023-10-01 00:53:30,2023-10-01 20:53:30,High,20.0,20.0
Geranium,171,175.0,Sunny,Weddings,29925.0,5985.0,264,10,7.0,2023-07-31 15:26:35,2023-08-02 05:26:35,High,38.0,20.0
Tulip,266,76.0,Rainy,Corporate Events,20216.0,4043.2,257,5,7.0,2023-10-14 22:15:50,2023-10-15 19:15:50,Low,21.0,20.0
Chrysanthemum,184,117.0,Rainy,Daily Consumers,21528.0,4305.6,269,5,7.0,2023-05-16 20:05:04,2023-05-19 03:05:04,Medium,55.0,20.0
Jasmine,138,106.0,Rainy,Marriage,14628.0,2925.6000000000004,293,5,7.0,2023-02-25 12:38:48,2023-02-27 16:38:48,Medium,52.0,20.0
Carnation,201,138.0,Cloudy,Marriage,27738.0,5547.6,283,7,7.0,2023-01-03 02:42:41,2023-01-03 13:42:41,Medium,11.0,20.0
Lavender,211,50.0,Windy,Corporate Events,10550.0,2110.0,284,6,7.0,2023-07-01 05:07:22,2023-07-02 00:07:22,Low,19.0,20.0
Gerbera,106,222.0,Rainy,Marriage,23532.0,4706.400000000001,242,5,7.0,2023-12-02 01:46:29,2023-12-02 14:46:29,High,13.0,20.0
Marigold,161,215.0,Sunny,Special Events,34615.0,6923.0,284,10,8.0,2023-08-05 11:19:35,2023-08-07 00:19:35,High,37.0,20.0
Marigold,175,232.0,Windy,Luxury Events,40600.0,8120.0,284,6,7.0,2023-05-19 13:18:31,2023-05-20 13:18:31,High,24.0,20.0
Chrysanthemum,112,97.0,Cloudy,Weddings,10864.0,2172.8,269,7,7.0,2023-11-20 19:26:12,2023-11-21 06:26:12,Low,11.0,20.0
Calla Lily,241,130.0,Rainy,Corporate Events,31330.0,6266.0,298,5,7.0,2023-02-03 21:04:16,2023-02-06 07:04:16,Medium,58.0,20.0
Sunflower,131,45.0,Rainy,Weddings,5895.0,1179.0,257,5,7.0,2023-03-02 18:13:41,2023-03-04 19:13:41,Low,49.0,20.0
Calla Lily,282,94.0,Sunny,High-End Customers,26508.0,5301.6,298,10,9.0,2023-04-01 07:29:12,2023-04-03 17:29:12,Low,58.0,20.0
Carnation,130,71.0,Sunny,Temple,9230.0,1846.0,283,10,6.0,2023-08-08 22:32:23,2023-08-11 06:32:23,Low,56.0,20.0
Poppy,228,108.0,Sunny,Weddings,24624.0,4924.8,284,10,7.0,2023-05-13 11:11:46,2023-05-16 08:11:46,Medium,69.0,20.0
Jasmine,150,21.0,Cloudy,Daily Consumers,3150.0,630.0,293,7,7.0,2023-03-09 05:41:29,2023-03-10 10:41:29,Low,29.0,20.0
Calla Lily,230,43.0,Rainy,Festivals,9890.0,1978.0,298,5,7.0,2023-03-11 19:16:03,2023-03-12 06:16:03,Low,11.0,20.0
Carnation,184,132.0,Cloudy,Luxury Events,24288.0,4857.6,283,7,7.0,2023-04-24 07:01:56,2023-04-26 01:01:56,Medium,42.0,20.0
Calla Lily,233,10.0,Rainy,Festivals,2330.0,466.0,298,5,7.0,2023-04-04 18:25:24,2023-04-05 14:25:24,Low,20.0,20.0
Geranium,128,119.0,Sunny,Daily Consumers,15232.0,3046.4,264,10,7.0,2023-12-17 22:22:30,2023-12-20 18:22:30,Medium,68.0,20.0
Hibiscus,126,176.0,Cloudy,Daily Consumers,22176.0,4435.2,273,7,7.0,2023-09-15 17:00:09,2023-09-16 02:00:09,High,9.0,20.0
Geranium,169,89.0,Windy,Special Events,15041.0,3008.2000000000003,264,6,8.0,2023-08-16 13:17:17,2023-08-17 23:17:17,Low,34.0,20.0
Chrysanthemum,135,165.0,Rainy,High-End Customers,22275.0,4455.0,269,5,9.0,2023-08-29 19:07:18,2023-08-30 06:07:18,High,11.0,20.0
Calla Lily,261,11.0,Windy,Daily Consumers,2871.0,574.2,298,6,7.0,2023-10-15 19:41:56,2023-10-16 10:41:56,Low,15.0,20.0
Jasmine,150,49.0,Cloudy,Festivals,7350.0,1470.0,293,7,7.0,2023-11-18 11:44:40,2023-11-20 04:44:40,Low,41.0,20.0
Calla Lily,258,124.0,Cloudy,Festivals,31992.0,6398.400000000001,298,7,7.0,2023-01-15 05:58:27,2023-01-18 03:58:27,Medium,70.0,20.0
Marigold,136,252.0,Sunny,Corporate Events,34272.0,6854.400000000001,284,10,7.0,2023-08-17 03:36:54,2023-08-18 05:36:54,High,26.0,20.0
Sunflower,171,142.0,Cloudy,Special Events,24282.0,4856.400000000001,257,7,8.0,2023-05-15 04:04:10,2023-05-16 12:04:10,Medium,32.0,20.0
Jasmine,144,167.0,Cloudy,Temple,24048.0,4809.6,293,7,6.0,2023-11-01 11:51:13,2023-11-03 04:51:13,High,41.0,20.0
Calla Lily,225,45.0,Cloudy,Corporate Events,10125.0,2025.0,298,7,7.0,2023-02-25 16:48:36,2023-02-27 18:48:36,Low,50.0,20.0
Sunflower,105,128.0,Sunny,Temple,13440.0,2688.0,257,10,6.0,2023-08-23 10:31:41,2023-08-24 09:31:41,Medium,23.0,20.0
Orchid,311,24.0,Sunny,Special Events,7464.0,1492.8000000000002,289,10,8.0,2023-05-24 10:21:27,2023-05-26 21:21:27,Low,59.0,20.0
Calla Lily,238,72.0,Sunny,Temple,17136.0,3427.2000000000003,298,10,6.0,2023-09-07 21:08:00,2023-09-10 06:08:00,Low,57.0,20.0
Lavender,212,34.0,Sunny,Weddings,7208.0,1441.6,284,10,7.0,2023-03-20 01:48:31,2023-03-21 04:48:31,Low,27.0,20.0
Calla Lily,285,10.0,Cloudy,Weddings,2850.0,570.0,298,7,7.0,2023-11-05 17:29:23,2023-11-08 10:29:23,Low,65.0,20.0
Chrysanthemum,156,110.0,Sunny,Weddings,17160.0,3432.0,269,10,7.0,2023-03-06 02:01:19,2023-03-08 22:01:19,Medium,68.0,20.0
Zinnia,108,188.0,Cloudy,Daily Consumers,20304.0,4060.8,277,7,7.0,2023-09-20 20:08:54,2023-09-22 21:08:54,High,49.0,20.0
Chrysanthemum,122,105.0,Windy,Marriage,12810.0,2562.0,269,6,7.0,2023-05-25 01:26:51,2023-05-25 09:26:51,Medium,8.0,20.0
Rose,123,98.0,Rainy,Temple,12054.0,2410.8,281,5,6.0,2023-06-13 18:27:18,2023-06-16 14:27:18,Low,68.0,20.0
Gerbera,85,183.0,Rainy,Luxury Events,15555.0,3111.0,242,5,7.0,2023-01-15 05:53:30,2023-01-16 23:53:30,High,42.0,20.0
Daisy,128,111.0,Cloudy,Marriage,14208.0,2841.6000000000004,285,7,7.0,2023-12-16 19:53:09,2023-12-18 03:53:09,Medium,32.0,20.000000000000004
Orchid,314,44.0,Sunny,Daily Consumers,13816.0,2763.2000000000003,289,10,7.0,2023-02-20 15:46:01,2023-02-21 11:46:01,Low,20.0,20.0
Calla Lily,259,138.0,Rainy,Daily Consumers,35742.0,7148.400000000001,298,5,7.0,2023-08-04 06:13:56,2023-08-05 10:13:56,Medium,28.0,20.0
Geranium,121,153.0,Sunny,Weddings,18513.0,3702.6,264,10,7.0,2023-06-22 10:29:52,2023-06-24 04:29:52,Medium,42.0,20.0
Carnation,196,165.0,Cloudy,Temple,32340.0,6468.0,283,7,6.0,2023-02-03 13:10:59,2023-02-03 20:10:59,High,7.0,20.0
Geranium,171,146.0,Cloudy,Daily Consumers,24966.0,4993.200000000001,264,7,7.0,2023-07-31 18:49:29,2023-08-02 09:49:29,Medium,39.0,20.000000000000004
Calla Lily,241,92.0,Sunny,Daily Consumers,22172.0,4434.400000000001,298,10,7.0,2023-03-17 06:25:04,2023-03-18 21:25:04,Low,39.0,20.0
Poppy,270,92.0,Cloudy,Special Events,24840.0,4968.0,284,7,8.0,2023-12-23 12:45:56,2023-12-25 22:45:56,Low,58.0,20.0
Calla Lily,241,85.0,Rainy,Luxury Events,20485.0,4097.0,298,5,7.0,2023-01-25 13:24:41,2023-01-27 21:24:41,Low,56.0,20.0
Tulip,282,10.0,Rainy,Luxury Events,2820.0,564.0,257,5,7.0,2023-11-14 19:42:47,2023-11-17 13:42:47,Low,66.0,20.0
Calla Lily,247,80.0,Windy,Daily Consumers,19760.0,3952.0,298,6,7.0,2023-08-01 22:00:14,2023-08-03 12:00:14,Low,38.0,20.0
Lily,165,63.0,Windy,Special Events,10395.0,2079.0,280,6,8.0,2023-01-28 05:23:58,2023-01-30 07:23:58,Low,50.0,20.0
Jasmine,96,45.0,Windy,Festivals,4320.0,864.0,293,6,7.0,2023-01-21 15:50:08,2023-01-24 08:50:08,Low,65.0,20.0
Daisy,121,201.0,Windy,High-End Customers,24321.0,4864.2,285,6,9.0,2023-06-13 23:14:26,2023-06-14 23:14:26,High,24.0,20.0
Rose,151,75.0,Sunny,Marriage,11325.0,2265.0,281,10,7.0,2023-05-22 12:44:24,2023-05-25 08:44:24,Low,68.0,20.0
Gerbera,98,162.0,Rainy,Temple,15876.0,3175.2000000000003,242,5,6.0,2023-03-11 14:25:49,2023-03-12 03:25:49,High,13.0,20.0
Marigold,157,244.0,Sunny,Daily Consumers,38308.0,7661.6,284,10,7.0,2023-08-23 12:08:36,2023-08-23 17:08:36,High,5.0,20.0
Tulip,245,35.0,Cloudy,Weddings,8575.0,1715.0,257,7,7.0,2023-02-26 14:56:14,2023-03-01 04:56:14,Low,62.0,20.0
Chrysanthemum,124,157.0,Windy,Luxury Events,19468.0,3893.6,269,6,7.0,2023-11-04 16:01:48,2023-11-05 17:01:48,High,25.0,20.0
