Flower Name,MRP (₹),Qty Sold (kg),Weather,Customer Segment,Revenue,Profit Margin,Sale Frequency,Weather Impact Score,Customer Segment Score,Start Date,Start Time,End Date,End Time
Sunflower,115,90,Sunny,Weddings,10350,2070.0,257,10,,2023-08-06,06:53:38,2023-08-08,20:53:38
Lavender,175,79,Windy,High-End Customers,13825,2765.0,284,6,9.0,2023-11-25,06:33:48,2023-11-27,23:33:48
Lavender,243,50,Rainy,Festivals,12150,2430.0,284,5,,2023-08-25,12:48:09,2023-08-25,19:48:09
Jasmine,88,110,Cloudy,High-End Customers,9680,1936.0,293,7,9.0,2023-10-20,14:45:36,2023-10-23,06:45:36
Orchid,292,85,Windy,High-End Customers,24820,4964.0,289,6,9.0,2023-07-07,18:19:50,2023-07-10,10:19:50
Gerbera,87,146,Windy,High-End Customers,12702,2540.4,242,6,9.0,2023-08-10,20:12:07,2023-08-11,11:12:07
Hibiscus,84,105,Cloudy,Weddings,8820,1764.0,273,7,,2023-10-28,14:15:57,2023-10-29,16:15:57
Carnation,152,78,Sunny,Marriage,11856,2371.2000000000003,283,10,,2023-06-16,04:50:24,2023-06-17,07:50:24
Daisy,99,151,Sunny,Corporate Events,14949,2989.8,285,10,7.0,2023-03-07,22:31:18,2023-03-10,00:31:18
Tulip,290,10,Cloudy,Weddings,2900,580.0,257,7,,2023-10-05,09:29:16,2023-10-06,22:29:16
Orchid,280,10,Cloudy,Weddings,2800,560.0,289,7,,2023-05-24,02:18:26,2023-05-26,01:18:26
Hibiscus,131,117,Sunny,Festivals,15327,3065.4,273,10,,2023-05-24,05:42:47,2023-05-24,06:42:47
Daisy,95,91,Rainy,Temple,8645,1729.0,285,5,6.0,2023-02-23,02:46:51,2023-02-24,02:46:51
Chrysanthemum,157,91,Sunny,Special Events,14287,2857.4,269,10,8.0,2023-10-01,21:45:53,2023-10-04,07:45:53
Jasmine,119,32,Cloudy,Special Events,3808,761.6,293,7,8.0,2023-05-11,19:48:27,2023-05-12,18:48:27
Lavender,221,111,Sunny,Festivals,24531,4906.2,284,10,,2023-05-04,07:44:35,2023-05-05,00:44:35
Orchid,324,67,Windy,Temple,21708,4341.6,289,6,6.0,2023-02-02,16:15:46,2023-02-03,12:15:46
Rose,128,156,Sunny,Festivals,19968,3993.6,281,10,,2023-02-05,22:07:23,2023-02-08,02:07:23
Zinnia,149,64,Sunny,Special Events,9536,1907.2,277,10,8.0,2023-10-22,23:47:22,2023-10-23,12:47:22
Calla Lily,255,127,Cloudy,Luxury Events,32385,6477.0,298,7,,2023-10-02,19:39:57,2023-10-04,01:39:57
Gerbera,87,116,Cloudy,Weddings,10092,2018.4,242,7,,2023-02-24,21:40:19,2023-02-27,18:40:19
Dahlia,214,105,Sunny,High-End Customers,22470,4494.0,300,10,9.0,2023-04-05,14:54:49,2023-04-05,17:54:49
Lily,198,22,Windy,Temple,4356,871.2,280,6,6.0,2023-11-15,05:23:16,2023-11-16,10:23:16
Orchid,333,10,Rainy,Luxury Events,3330,666.0,289,5,,2023-05-26,08:22:12,2023-05-26,14:22:12
Zinnia,101,209,Cloudy,Luxury Events,21109,4221.8,277,7,,2023-06-06,23:13:29,2023-06-08,14:13:29
Carnation,171,93,Rainy,High-End Customers,15903,3180.6000000000004,283,5,9.0,2023-09-04,06:00:47,2023-09-05,11:00:47
Gerbera,84,200,Rainy,Special Events,16800,3360.0,242,5,8.0,2023-08-10,10:59:28,2023-08-13,10:59:28
Dahlia,211,18,Sunny,High-End Customers,3798,759.6,300,10,9.0,2023-06-04,22:06:20,2023-06-05,01:06:20
Dahlia,190,10,Sunny,Festivals,1900,380.0,300,10,,2023-01-29,23:08:38,2023-01-30,15:08:38
Jasmine,119,111,Sunny,Daily Consumers,13209,2641.8,293,10,,2023-11-29,05:05:44,2023-12-01,18:05:44
Gerbera,134,131,Sunny,Special Events,17554,3510.8,242,10,8.0,2023-09-17,03:20:19,2023-09-17,15:20:19
Gerbera,140,190,Cloudy,Special Events,26600,5320.0,242,7,8.0,2023-08-29,21:13:14,2023-09-01,01:13:14
Carnation,193,118,Sunny,Festivals,22774,4554.8,283,10,,2023-09-07,11:42:46,2023-09-07,23:42:46
Calla Lily,282,10,Windy,Luxury Events,2820,564.0,298,6,,2023-04-20,14:11:56,2023-04-21,19:11:56
Geranium,141,34,Cloudy,Luxury Events,4794,958.8,264,7,,2023-08-25,21:24:41,2023-08-27,05:24:41
Jasmine,110,81,Sunny,Corporate Events,8910,1782.0,293,10,7.0,2023-01-09,11:22:56,2023-01-12,10:22:56
Dahlia,184,108,Windy,Special Events,19872,3974.4,300,6,8.0,2023-08-03,17:40:26,2023-08-05,17:40:26
Rose,150,119,Sunny,Luxury Events,17850,3570.0,281,10,,2023-11-13,20:23:32,2023-11-14,00:23:32
Tulip,272,111,Windy,Marriage,30192,6038.400000000001,257,6,,2023-02-23,07:59:38,2023-02-26,05:59:38
Lavender,173,97,Cloudy,Marriage,16781,3356.2000000000003,284,7,,2023-04-27,00:58:08,2023-04-27,07:58:08
Carnation,136,195,Sunny,Festivals,26520,5304.0,283,10,,2023-03-12,21:16:57,2023-03-14,11:16:57
Chrysanthemum,179,148,Sunny,High-End Customers,26492,5298.400000000001,269,10,9.0,2023-08-15,20:04:53,2023-08-17,21:04:53
Geranium,126,148,Windy,Marriage,18648,3729.6,264,6,,2023-09-05,22:07:21,2023-09-08,18:07:21
Poppy,235,100,Sunny,Special Events,23500,4700.0,284,10,8.0,2023-02-07,05:45:20,2023-02-07,18:45:20
Calla Lily,228,27,Rainy,Luxury Events,6156,1231.2,298,5,,2023-08-14,21:44:31,2023-08-16,20:44:31
Calla Lily,226,92,Sunny,Weddings,20792,4158.400000000001,298,10,,2023-03-14,11:43:06,2023-03-14,22:43:06
Daisy,158,165,Cloudy,Festivals,26070,5214.0,285,7,,2023-11-12,21:37:37,2023-11-13,18:37:37
Chrysanthemum,118,107,Windy,Special Events,12626,2525.2000000000003,269,6,8.0,2023-02-17,11:37:32,2023-02-18,23:37:32
Lavender,193,10,Rainy,Luxury Events,1930,386.0,284,5,,2023-02-13,02:02:35,2023-02-15,19:02:35
Dahlia,207,145,Windy,High-End Customers,30015,6003.0,300,6,9.0,2023-12-30,07:44:20,2024-01-01,17:44:20
Orchid,330,65,Windy,Daily Consumers,21450,4290.0,289,6,,2023-01-15,00:29:37,2023-01-15,14:29:37
Rose,100,72,Cloudy,Daily Consumers,7200,1440.0,281,7,,2023-12-05,00:55:57,2023-12-07,15:55:57
Rose,166,143,Rainy,Luxury Events,23738,4747.6,281,5,,2023-09-18,15:28:40,2023-09-21,15:28:40
Calla Lily,295,52,Rainy,Festivals,15340,3068.0,298,5,,2023-07-30,22:13:53,2023-07-31,22:13:53
Tulip,230,10,Cloudy,Weddings,2300,460.0,257,7,,2023-12-03,03:09:32,2023-12-04,08:09:32
Orchid,341,36,Windy,Special Events,12276,2455.2000000000003,289,6,8.0,2023-09-27,06:02:08,2023-09-28,13:02:08
Hibiscus,128,215,Sunny,Luxury Events,27520,5504.0,273,10,,2023-01-30,16:56:02,2023-02-01,04:56:02
Poppy,220,109,Sunny,High-End Customers,23980,4796.0,284,10,9.0,2023-12-09,23:22:01,2023-12-11,05:22:01
Carnation,161,97,Rainy,Luxury Events,15617,3123.4,283,5,,2023-07-26,13:53:37,2023-07-27,13:53:37
Orchid,292,10,Windy,Corporate Events,2920,584.0,289,6,7.0,2023-11-14,22:58:23,2023-11-15,19:58:23
Orchid,306,91,Rainy,Temple,27846,5569.200000000001,289,5,6.0,2023-03-04,07:30:46,2023-03-05,22:30:46
Daisy,126,155,Windy,Daily Consumers,19530,3906.0,285,6,,2023-02-27,21:25:26,2023-02-28,22:25:26
Lavender,231,36,Rainy,Weddings,8316,1663.2,284,5,,2023-10-06,04:59:28,2023-10-08,04:59:28
Gerbera,147,242,Cloudy,High-End Customers,35574,7114.8,242,7,9.0,2023-10-10,11:51:00,2023-10-11,23:51:00
Hibiscus,96,228,Cloudy,Weddings,21888,4377.6,273,7,,2023-09-27,09:35:34,2023-09-27,19:35:34
Marigold,143,188,Sunny,Corporate Events,26884,5376.8,284,10,7.0,2023-08-09,05:54:48,2023-08-11,17:54:48
Zinnia,105,198,Cloudy,Weddings,20790,4158.0,277,7,,2023-04-16,22:10:56,2023-04-17,19:10:56
Lily,192,106,Sunny,Corporate Events,20352,4070.4,280,10,7.0,2023-05-29,04:39:20,2023-05-29,05:39:20
Sunflower,128,47,Cloudy,Festivals,6016,1203.2,257,7,,2023-06-20,14:12:55,2023-06-22,17:12:55
Calla Lily,290,99,Windy,Daily Consumers,28710,5742.0,298,6,,2023-06-20,09:41:41,2023-06-20,15:41:41
Lavender,232,67,Sunny,Daily Consumers,15544,3108.8,284,10,,2023-05-07,02:14:17,2023-05-07,04:14:17
Lavender,172,10,Sunny,High-End Customers,1720,344.0,284,10,9.0,2023-07-21,09:25:27,2023-07-22,16:25:27
Hibiscus,109,183,Windy,Marriage,19947,3989.4,273,6,,2023-12-20,12:14:23,2023-12-20,14:14:23
Calla Lily,279,81,Cloudy,Marriage,22599,4519.8,298,7,,2023-04-10,19:18:40,2023-04-12,14:18:40
Daisy,149,218,Windy,High-End Customers,32482,6496.400000000001,285,6,9.0,2023-03-06,17:33:11,2023-03-07,20:33:11
Daisy,142,207,Sunny,Festivals,29394,5878.8,285,10,,2023-10-01,12:49:13,2023-10-04,00:49:13
Tulip,295,30,Sunny,Special Events,8850,1770.0,257,10,8.0,2023-07-01,21:17:29,2023-07-03,02:17:29
Geranium,166,75,Windy,Marriage,12450,2490.0,264,6,,2023-01-07,11:33:48,2023-01-08,00:33:48
Jasmine,135,87,Windy,Festivals,11745,2349.0,293,6,,2023-01-10,10:23:34,2023-01-10,13:23:34
Orchid,294,86,Sunny,Marriage,25284,5056.8,289,10,,2023-10-10,13:47:08,2023-10-12,19:47:08
Poppy,244,66,Windy,Temple,16104,3220.8,284,6,6.0,2023-10-29,15:29:53,2023-10-30,13:29:53
Geranium,136,172,Cloudy,Corporate Events,23392,4678.400000000001,264,7,7.0,2023-10-01,00:53:30,2023-10-01,20:53:30
Geranium,171,175,Sunny,Weddings,29925,5985.0,264,10,,2023-07-31,15:26:35,2023-08-02,05:26:35
Tulip,266,76,Rainy,Corporate Events,20216,4043.2,257,5,7.0,2023-10-14,22:15:50,2023-10-15,19:15:50
Chrysanthemum,184,117,Rainy,Daily Consumers,21528,4305.6,269,5,,2023-05-16,20:05:04,2023-05-19,03:05:04
Jasmine,138,106,Rainy,Marriage,14628,2925.6000000000004,293,5,,2023-02-25,12:38:48,2023-02-27,16:38:48
Carnation,201,138,Cloudy,Marriage,27738,5547.6,283,7,,2023-01-03,02:42:41,2023-01-03,13:42:41
Lavender,211,50,Windy,Corporate Events,10550,2110.0,284,6,7.0,2023-07-01,05:07:22,2023-07-02,00:07:22
Gerbera,106,222,Rainy,Marriage,23532,4706.400000000001,242,5,,2023-12-02,01:46:29,2023-12-02,14:46:29
Marigold,161,215,Sunny,Special Events,34615,6923.0,284,10,8.0,2023-08-05,11:19:35,2023-08-07,00:19:35
Marigold,175,232,Windy,Luxury Events,40600,8120.0,284,6,,2023-05-19,13:18:31,2023-05-20,13:18:31
Chrysanthemum,112,97,Cloudy,Weddings,10864,2172.8,269,7,,2023-11-20,19:26:12,2023-11-21,06:26:12
Calla Lily,241,130,Rainy,Corporate Events,31330,6266.0,298,5,7.0,2023-02-03,21:04:16,2023-02-06,07:04:16
Sunflower,131,45,Rainy,Weddings,5895,1179.0,257,5,,2023-03-02,18:13:41,2023-03-04,19:13:41
Calla Lily,282,94,Sunny,High-End Customers,26508,5301.6,298,10,9.0,2023-04-01,07:29:12,2023-04-03,17:29:12
Carnation,130,71,Sunny,Temple,9230,1846.0,283,10,6.0,2023-08-08,22:32:23,2023-08-11,06:32:23
Poppy,228,108,Sunny,Weddings,24624,4924.8,284,10,,2023-05-13,11:11:46,2023-05-16,08:11:46
Jasmine,150,21,Cloudy,Daily Consumers,3150,630.0,293,7,,2023-03-09,05:41:29,2023-03-10,10:41:29
Calla Lily,230,43,Rainy,Festivals,9890,1978.0,298,5,,2023-03-11,19:16:03,2023-03-12,06:16:03
Carnation,184,132,Cloudy,Luxury Events,24288,4857.6,283,7,,2023-04-24,07:01:56,2023-04-26,01:01:56
Calla Lily,233,10,Rainy,Festivals,2330,466.0,298,5,,2023-04-04,18:25:24,2023-04-05,14:25:24
Geranium,128,119,Sunny,Daily Consumers,15232,3046.4,264,10,,2023-12-17,22:22:30,2023-12-20,18:22:30
Hibiscus,126,176,Cloudy,Daily Consumers,22176,4435.2,273,7,,2023-09-15,17:00:09,2023-09-16,02:00:09
Geranium,169,89,Windy,Special Events,15041,3008.2000000000003,264,6,8.0,2023-08-16,13:17:17,2023-08-17,23:17:17
Chrysanthemum,135,165,Rainy,High-End Customers,22275,4455.0,269,5,9.0,2023-08-29,19:07:18,2023-08-30,06:07:18
Calla Lily,261,11,Windy,Daily Consumers,2871,574.2,298,6,,2023-10-15,19:41:56,2023-10-16,10:41:56
Jasmine,150,49,Cloudy,Festivals,7350,1470.0,293,7,,2023-11-18,11:44:40,2023-11-20,04:44:40
Calla Lily,258,124,Cloudy,Festivals,31992,6398.400000000001,298,7,,2023-01-15,05:58:27,2023-01-18,03:58:27
Marigold,136,252,Sunny,Corporate Events,34272,6854.400000000001,284,10,7.0,2023-08-17,03:36:54,2023-08-18,05:36:54
Sunflower,171,142,Cloudy,Special Events,24282,4856.400000000001,257,7,8.0,2023-05-15,04:04:10,2023-05-16,12:04:10
Jasmine,144,167,Cloudy,Temple,24048,4809.6,293,7,6.0,2023-11-01,11:51:13,2023-11-03,04:51:13
Calla Lily,225,45,Cloudy,Corporate Events,10125,2025.0,298,7,7.0,2023-02-25,16:48:36,2023-02-27,18:48:36
Sunflower,105,128,Sunny,Temple,13440,2688.0,257,10,6.0,2023-08-23,10:31:41,2023-08-24,09:31:41
Orchid,311,24,Sunny,Special Events,7464,1492.8000000000002,289,10,8.0,2023-05-24,10:21:27,2023-05-26,21:21:27
Calla Lily,238,72,Sunny,Temple,17136,3427.2000000000003,298,10,6.0,2023-09-07,21:08:00,2023-09-10,06:08:00
Lavender,212,34,Sunny,Weddings,7208,1441.6,284,10,,2023-03-20,01:48:31,2023-03-21,04:48:31
Calla Lily,285,10,Cloudy,Weddings,2850,570.0,298,7,,2023-11-05,17:29:23,2023-11-08,10:29:23
Chrysanthemum,156,110,Sunny,Weddings,17160,3432.0,269,10,,2023-03-06,02:01:19,2023-03-08,22:01:19
Zinnia,108,188,Cloudy,Daily Consumers,20304,4060.8,277,7,,2023-09-20,20:08:54,2023-09-22,21:08:54
Chrysanthemum,122,105,Windy,Marriage,12810,2562.0,269,6,,2023-05-25,01:26:51,2023-05-25,09:26:51
Rose,123,98,Rainy,Temple,12054,2410.8,281,5,6.0,2023-06-13,18:27:18,2023-06-16,14:27:18
Gerbera,85,183,Rainy,Luxury Events,15555,3111.0,242,5,,2023-01-15,05:53:30,2023-01-16,23:53:30
Daisy,128,111,Cloudy,Marriage,14208,2841.6000000000004,285,7,,2023-12-16,19:53:09,2023-12-18,03:53:09
Orchid,314,44,Sunny,Daily Consumers,13816,2763.2000000000003,289,10,,2023-02-20,15:46:01,2023-02-21,11:46:01
Calla Lily,259,138,Rainy,Daily Consumers,35742,7148.400000000001,298,5,,2023-08-04,06:13:56,2023-08-05,10:13:56
Geranium,121,153,Sunny,Weddings,18513,3702.6,264,10,,2023-06-22,10:29:52,2023-06-24,04:29:52
Carnation,196,165,Cloudy,Temple,32340,6468.0,283,7,6.0,2023-02-03,13:10:59,2023-02-03,20:10:59
Geranium,171,146,Cloudy,Daily Consumers,24966,4993.200000000001,264,7,,2023-07-31,18:49:29,2023-08-02,09:49:29
Calla Lily,241,92,Sunny,Daily Consumers,22172,4434.400000000001,298,10,,2023-03-17,06:25:04,2023-03-18,21:25:04
Poppy,270,92,Cloudy,Special Events,24840,4968.0,284,7,8.0,2023-12-23,12:45:56,2023-12-25,22:45:56
Calla Lily,241,85,Rainy,Luxury Events,20485,4097.0,298,5,,2023-01-25,13:24:41,2023-01-27,21:24:41
Tulip,282,10,Rainy,Luxury Events,2820,564.0,257,5,,2023-11-14,19:42:47,2023-11-17,13:42:47
Calla Lily,247,80,Windy,Daily Consumers,19760,3952.0,298,6,,2023-08-01,22:00:14,2023-08-03,12:00:14
Lily,165,63,Windy,Special Events,10395,2079.0,280,6,8.0,2023-01-28,05:23:58,2023-01-30,07:23:58
Jasmine,96,45,Windy,Festivals,4320,864.0,293,6,,2023-01-21,15:50:08,2023-01-24,08:50:08
Daisy,121,201,Windy,High-End Customers,24321,4864.2,285,6,9.0,2023-06-13,23:14:26,2023-06-14,23:14:26
Rose,151,75,Sunny,Marriage,11325,2265.0,281,10,,2023-05-22,12:44:24,2023-05-25,08:44:24
Gerbera,98,162,Rainy,Temple,15876,3175.2000000000003,242,5,6.0,2023-03-11,14:25:49,2023-03-12,03:25:49
Marigold,157,244,Sunny,Daily Consumers,38308,7661.6,284,10,,2023-08-23,12:08:36,2023-08-23,17:08:36
Tulip,245,35,Cloudy,Weddings,8575,1715.0,257,7,,2023-02-26,14:56:14,2023-03-01,04:56:14
Chrysanthemum,124,157,Windy,Luxury Events,19468,3893.6,269,6,,2023-11-04,16:01:48,2023-11-05,17:01:48
Calla Lily,235,89,Sunny,Temple,20915,4183.0,298,10,6.0,2023-03-11,16:11:30,2023-03-12,07:11:30
Poppy,246,99,Sunny,Temple,24354,4870.8,284,10,6.0,2023-10-17,20:03:03,2023-10-18,14:03:03
Chrysanthemum,154,38,Cloudy,Festivals,5852,1170.4,269,7,,2023-03-05,13:37:24,2023-03-06,22:37:24
Chrysanthemum,188,44,Rainy,Temple,8272,1654.4,269,5,6.0,2023-12-27,00:08:50,2023-12-27,02:08:50
Hibiscus,96,102,Sunny,Marriage,9792,1958.4,273,10,,2023-08-24,14:47:13,2023-08-26,10:47:13
Dahlia,152,89,Windy,Corporate Events,13528,2705.6000000000004,300,6,7.0,2023-07-06,03:29:53,2023-07-07,13:29:53
Carnation,178,180,Cloudy,Weddings,32040,6408.0,283,7,,2023-12-08,18:20:31,2023-12-10,01:20:31
Jasmine,149,37,Cloudy,Corporate Events,5513,1102.6,293,7,7.0,2023-04-10,11:52:26,2023-04-11,12:52:26
Lavender,239,77,Sunny,Corporate Events,18403,3680.6,284,10,7.0,2023-10-12,14:03:19,2023-10-13,16:03:19
Jasmine,90,33,Cloudy,Corporate Events,2970,594.0,293,7,7.0,2023-06-24,05:56:15,2023-06-26,04:56:15
Calla Lily,221,10,Rainy,Special Events,2210,442.0,298,5,8.0,2023-08-02,18:22:40,2023-08-03,06:22:40
Jasmine,72,22,Sunny,Luxury Events,1584,316.8,293,10,,2023-05-15,23:17:40,2023-05-16,14:17:40
Poppy,203,10,Rainy,Corporate Events,2030,406.0,284,5,7.0,2023-12-28,01:31:51,2023-12-29,13:31:51
Chrysanthemum,163,50,Sunny,Special Events,8150,1630.0,269,10,8.0,2023-02-09,10:15:57,2023-02-11,13:15:57
Orchid,321,110,Rainy,Temple,35310,7062.0,289,5,6.0,2023-09-06,19:47:37,2023-09-09,06:47:37
Geranium,165,43,Cloudy,Marriage,7095,1419.0,264,7,,2023-10-06,13:37:59,2023-10-07,09:37:59
Marigold,195,212,Cloudy,Daily Consumers,41340,8268.0,284,7,,2023-06-11,15:52:08,2023-06-13,23:52:08
Carnation,184,169,Windy,Festivals,31096,6219.200000000001,283,6,,2023-08-14,14:25:45,2023-08-16,14:25:45
Carnation,168,147,Cloudy,Daily Consumers,24696,4939.200000000001,283,7,,2023-01-27,09:47:28,2023-01-28,13:47:28
Calla Lily,258,61,Cloudy,Weddings,15738,3147.6000000000004,298,7,,2023-01-04,23:26:33,2023-01-06,19:26:33
Poppy,201,86,Sunny,Daily Consumers,17286,3457.2000000000003,284,10,,2023-06-20,05:51:33,2023-06-20,20:51:33
Geranium,136,126,Sunny,Weddings,17136,3427.2000000000003,264,10,,2023-02-22,23:05:03,2023-02-24,12:05:03
Dahlia,197,125,Rainy,Luxury Events,24625,4925.0,300,5,,2023-03-23,15:49:55,2023-03-24,21:49:55
Chrysanthemum,180,125,Windy,Luxury Events,22500,4500.0,269,6,,2023-07-12,15:25:59,2023-07-13,08:25:59
Lily,175,140,Cloudy,Festivals,24500,4900.0,280,7,,2023-09-30,20:58:40,2023-10-03,16:58:40
Chrysanthemum,129,67,Rainy,Luxury Events,8643,1728.6,269,5,,2023-03-31,01:58:58,2023-04-01,03:58:58
Gerbera,119,180,Windy,Corporate Events,21420,4284.0,242,6,7.0,2023-08-30,11:04:13,2023-08-30,22:04:13
Poppy,228,10,Rainy,Daily Consumers,2280,456.0,284,5,,2023-05-24,09:39:55,2023-05-24,22:39:55
Sunflower,178,200,Windy,Corporate Events,35600,7120.0,257,6,7.0,2023-02-10,16:00:14,2023-02-11,14:00:14
Geranium,164,166,Cloudy,Temple,27224,5444.8,264,7,6.0,2023-02-22,09:55:56,2023-02-22,13:55:56
Lavender,179,10,Rainy,Special Events,1790,358.0,284,5,8.0,2023-05-04,19:14:15,2023-05-05,04:14:15
Zinnia,142,91,Windy,Corporate Events,12922,2584.4,277,6,7.0,2023-11-18,20:03:34,2023-11-21,19:03:34
Lily,167,99,Rainy,Daily Consumers,16533,3306.6000000000004,280,5,,2023-12-27,04:20:28,2023-12-29,00:20:28
Rose,101,105,Windy,Corporate Events,10605,2121.0,281,6,7.0,2023-09-28,06:12:14,2023-09-29,07:12:14
Dahlia,143,29,Sunny,Luxury Events,4147,829.4000000000001,300,10,,2023-04-14,11:24:16,2023-04-15,15:24:16
Marigold,121,123,Windy,High-End Customers,14883,2976.6000000000004,284,6,9.0,2023-02-07,22:13:35,2023-02-08,23:13:35
Dahlia,151,87,Rainy,High-End Customers,13137,2627.4,300,5,9.0,2023-02-10,00:20:24,2023-02-12,12:20:24
Orchid,324,45,Sunny,Temple,14580,2916.0,289,10,6.0,2023-02-16,22:13:20,2023-02-17,16:13:20
Marigold,138,210,Cloudy,Weddings,28980,5796.0,284,7,,2023-04-24,13:23:38,2023-04-27,00:23:38
Orchid,339,17,Windy,Marriage,5763,1152.6,289,6,,2023-08-21,15:12:30,2023-08-24,03:12:30
Dahlia,187,65,Rainy,Corporate Events,12155,2431.0,300,5,7.0,2023-11-23,04:32:45,2023-11-23,06:32:45
Jasmine,121,35,Rainy,Daily Consumers,4235,847.0,293,5,,2023-03-29,02:56:38,2023-03-30,22:56:38
Carnation,183,199,Sunny,High-End Customers,36417,7283.400000000001,283,10,9.0,2023-03-11,02:06:09,2023-03-11,12:06:09
Gerbera,90,215,Windy,Special Events,19350,3870.0,242,6,8.0,2023-04-28,18:40:13,2023-04-30,22:40:13
Daisy,102,172,Rainy,Luxury Events,17544,3508.8,285,5,,2023-12-21,02:19:31,2023-12-21,07:19:31
Carnation,144,94,Cloudy,Temple,13536,2707.2000000000003,283,7,6.0,2023-04-17,18:55:53,2023-04-18,08:55:53
Tulip,277,115,Windy,Weddings,31855,6371.0,257,6,,2023-11-18,13:21:42,2023-11-18,19:21:42
Rose,135,186,Cloudy,Festivals,25110,5022.0,281,7,,2023-09-14,09:13:04,2023-09-15,08:13:04
