,MRP (₹),Qty Sold (kg),Revenue,Profit Margin,Sale Frequency,Weather Impact Score,Customer Segment Score,Weather_Cloudy,Weather_Rainy,Weather_Sunny,Weather_Windy,Customer Segment_Corporate Events,Customer Segment_Daily Consumers,Customer Segment_Festivals,Customer Segment_High-End Customers,Customer Segment_Luxury Events,Customer Segment_Marriage,Customer Segment_Special Events,Customer Segment_Temple,Customer Segment_Weddings,0
18,-0.7156887489936745,0.8170261792198555,0.39181028918815913,0.3918102891881589,-0.6527290918660799,-0.5394638061949537,1.8068621093901294,0,0,0,1,0,0,0,1,0,0,0,0,0,2
20,-0.7950329826222823,-0.34738625897175385,-0.6344168521207251,-0.6344168521207252,-0.0971909549548749,1.611834802439346,0.15121927667576332,0,0,1,0,0,0,0,0,0,0,0,0,1,17
22,-0.4776560481078514,0.34496708265568954,0.19592554013449348,0.19592554013449326,0.38890491484242945,-0.5394638061949537,-0.3218215326711976,0,0,0,1,0,0,0,0,1,0,0,0,0,11
23,-0.6204756686393452,1.4621736111908823,1.061161535687805,1.0611615356878048,-2.5276703039413966,1.611834802439346,0.15121927667576332,0,0,1,0,0,0,0,0,1,0,0,0,0,6
25,-0.17614796031914207,-0.9925336909427807,-0.9777114043289092,-0.9777114043289092,-0.6527290918660799,-1.0772884583535287,-1.7409439607120827,0,1,0,0,0,0,0,0,0,0,0,1,0,2
26,1.2203105515443537,-1.4331221810693355,-1.3015741894309698,-1.3015741894309698,-1.4860362972328873,-1.0772884583535287,-0.5583419373446786,0,1,0,0,1,0,0,0,0,0,0,0,0,16
27,2.2041790485390895,-0.9610630845051696,-0.22321558690727009,-0.22321558690727006,0.7361162504119325,1.611834802439346,-0.5583419373446786,0,0,1,0,1,0,0,0,0,0,0,0,0,12
28,-0.4141806612049652,-0.7722394458795032,-0.8331223415607635,-0.8331223415607636,-0.0971909549548749,1.611834802439346,-1.7409439607120827,0,0,1,0,0,0,0,0,0,0,0,1,0,17
29,1.9502775009275446,-0.28444504609653176,1.0251187418619305,1.0251187418619303,0.7361162504119325,-0.5394638061949537,1.8068621093901294,0,0,0,1,0,0,0,1,0,0,0,0,0,12
30,1.870933267298937,-1.2285632392248638,-0.8391817097981569,-0.839181709798157,0.7361162504119325,-0.0016391540363787948,0.6242600860227253,1,0,0,0,0,0,0,0,0,0,0,0,1,12
31,-0.46178720138212986,0.565261327718967,0.4185550869256196,0.41855508692561955,0.38890491484242945,-1.0772884583535287,-0.3218215326711976,0,1,0,0,0,0,0,0,0,1,0,0,0,11
34,-0.19201680704486362,-0.0012095881580321693,0.07076824447247135,0.0707682444724712,0.11113584638682696,-1.0772884583535287,1.8068621093901294,0,1,0,0,0,0,0,1,0,0,0,0,0,10
35,-0.906114909702333,-0.2687097428777262,-0.6365062894439641,-0.6365062894439643,-1.4860362972328873,1.611834802439346,0.38773968134924436,0,0,1,0,0,0,0,0,0,0,0,0,1,15
38,-1.3345737712968146,0.045996321498384424,-0.7065024397724741,-0.7065024397724741,1.013885318867535,-0.0016391540363787948,1.8068621093901294,1,0,0,0,0,0,0,1,0,0,0,0,0,8
39,1.90267096075038,-0.34738625897175385,0.875201613919525,0.8752016139195248,0.7361162504119325,-0.5394638061949537,1.8068621093901294,0,0,0,1,0,0,0,1,0,0,0,0,0,12
40,-1.3504426180225362,0.6124672373753836,-0.39078846023104596,-0.390788460231046,-2.5276703039413966,-0.5394638061949537,1.8068621093901294,0,0,0,1,0,0,0,1,0,0,0,0,0,6
43,-1.1600164573138778,0.6911437534694113,-0.156040176965133,-0.15604017696513303,0.45834718195633006,1.611834802439346,-0.5583419373446786,0,0,1,0,1,0,0,0,0,0,0,0,0,4
44,1.870933267298937,-1.5275340003821687,-1.414821692350529,-1.414821692350529,-1.4860362972328873,-0.0016391540363787948,0.8607804906962053,1,0,0,0,0,0,0,0,0,0,0,0,1,16
48,-0.23962334722202824,-0.2529744396589207,-0.22520055236434725,-0.2252005523643473,-0.6527290918660799,1.611834802439346,0.6242600860227253,0,0,1,0,0,0,0,0,0,0,1,0,0,2
49,-0.8426395227994469,-1.181357329568447,-1.319961237875474,-1.319961237875474,1.013885318867535,-0.0016391540363787948,0.6242600860227253,1,0,0,0,0,0,0,0,0,0,1,0,0,8
50,0.7759828432241505,0.06173162471718996,0.8450092445987201,0.8450092445987197,0.38890491484242945,1.611834802439346,-0.5583419373446786,0,0,1,0,0,0,1,0,0,0,0,0,0,9
51,2.410474055973469,-0.6306217169102535,0.550085166423521,0.550085166423521,0.7361162504119325,-0.5394638061949537,-1.7409439607120827,0,0,0,1,0,0,0,0,0,0,0,1,0,12
56,0.6649009161440997,-0.03268019459564323,0.6296927284389308,0.6296927284389305,1.4999811886648393,1.611834802439346,1.8068621093901294,0,0,1,0,0,0,0,1,0,0,0,0,0,3
57,0.41099936853255503,-1.3387103617565024,-1.2627106552187226,-1.2627106552187224,0.11113584638682696,-0.5394638061949537,-1.7409439607120827,0,0,0,1,0,0,0,0,0,0,0,1,0,10
58,2.553293676504963,-1.5275340003821687,-1.3698987899008885,-1.3698987899008883,0.7361162504119325,-1.0772884583535287,-0.08530112799771662,0,1,0,0,0,0,0,0,1,0,0,0,0,12
62,0.617294375966935,-1.4016515746317246,-1.3210059565370935,-1.3210059565370935,1.4999811886648393,1.611834802439346,1.8068621093901294,0,0,1,0,0,0,0,1,0,0,0,0,0,3
64,-0.8426395227994469,0.06173162471718996,-0.33782122408693477,-0.33782122408693477,1.013885318867535,1.611834802439346,0.38773968134924436,0,0,1,0,0,1,0,0,0,0,0,0,0,8
66,-0.5093937415592945,1.3048205790028269,1.061161535687805,1.0611615356878048,-2.5276703039413966,-0.0016391540363787948,0.6242600860227253,1,0,0,0,0,0,0,0,0,0,1,0,0,6
67,0.33165513490394727,0.17187874724882868,0.6614521757521651,0.661452175752165,0.31946264772852884,1.611834802439346,1.0973008953696874,0,0,1,0,0,0,1,0,0,0,0,0,0,1
68,1.7439824934931645,-1.5275340003821687,-1.4231794416434855,-1.4231794416434855,1.3610966544370382,-0.5394638061949537,-1.0313827466916408,0,0,0,1,0,0,0,0,1,0,0,0,0,0
70,-0.9854591433309408,-0.410327471846976,-0.7869457767171794,-0.7869457767171795,1.013885318867535,1.611834802439346,-0.5583419373446786,0,0,1,0,1,0,0,0,0,0,0,0,0,8
74,0.014278200389516441,-0.15856262034608748,0.035352281843568596,0.035352281843568596,0.38890491484242945,-0.0016391540363787948,-0.08530112799771662,1,0,0,0,0,0,0,0,0,1,0,0,0,9
75,-0.5728691284621806,1.3834970950968546,1.0528037863948485,1.0528037863948483,0.31946264772852884,1.611834802439346,-0.5583419373446786,0,0,1,0,0,0,1,0,0,0,0,0,0,1
76,0.10949128074384569,0.6439378438129947,1.0498785741423138,1.0498785741423138,-0.6527290918660799,1.611834802439346,1.8068621093901294,0,0,1,0,0,0,0,1,0,0,0,0,0,2
80,0.8553270768527582,-0.23723913644011516,0.4543889370191702,0.45438893701917027,1.3610966544370382,1.611834802439346,-0.3218215326711976,0,0,1,0,0,0,0,0,0,0,0,0,1,0
82,-0.8585083695251684,-0.0012095881580321693,-0.39872832205935455,-0.3987283220593545,-0.6527290918660799,-0.5394638061949537,0.6242600860227253,0,0,0,1,0,0,0,0,0,0,1,0,0,2
85,2.505687136327799,-0.6620923233478645,0.5231314249537367,0.5231314249537364,0.7361162504119325,-0.5394638061949537,-0.08530112799771662,0,0,0,1,0,1,0,0,0,0,0,0,0,12
89,0.9188024637556443,-1.5275340003821687,-1.4775048120477021,-1.4775048120477021,-1.4860362972328873,-0.0016391540363787948,0.15121927667576332,1,0,0,0,0,0,0,0,0,0,0,0,1,16
90,2.6802444503107354,-1.118416116693225,-0.4352934752160388,-0.4352934752160387,0.7361162504119325,-0.5394638061949537,0.6242600860227253,0,0,0,1,0,0,0,0,0,0,1,0,0,12
91,-0.699819902267953,1.6982031594729652,1.1572756525568035,1.1572756525568033,-0.3749600234104774,1.611834802439346,-0.08530112799771662,0,0,1,0,0,0,0,0,1,0,0,0,0,7
92,0.7601139964984289,0.030261018279578895,0.7874452463434828,0.7874452463434826,0.38890491484242945,1.611834802439346,1.8068621093901294,0,0,1,0,0,0,0,1,0,0,0,0,0,13
95,2.1248348149104817,-0.2529744396589207,1.1913334809256009,1.191333480925601,0.7361162504119325,-1.0772884583535287,-1.7409439607120827,0,1,0,0,0,0,0,0,0,0,0,1,0,12
97,0.9346713104813659,-1.118416116693225,-0.8490020652173806,-0.8490020652173808,0.38890491484242945,-1.0772884583535287,-0.3218215326711976,0,1,0,0,0,0,0,0,0,0,0,0,1,9
98,-0.3983118144792437,2.123056346380715,1.9986920626251894,1.9986920626251892,-2.5276703039413966,-0.0016391540363787948,1.8068621093901294,1,0,0,0,0,0,0,1,0,0,0,0,0,6
100,-0.46178720138212986,1.273349972565216,1.0908315456778002,1.0908315456778,0.38890491484242945,1.611834802439346,-0.5583419373446786,0,0,1,0,1,0,0,0,0,0,0,0,0,11
101,-1.0648033769595484,1.4307030047532712,0.4541799932868463,0.4541799932868461,-0.0971909549548749,-0.0016391540363787948,0.8607804906962053,1,0,0,0,0,0,0,0,0,0,0,0,1,17
102,0.31578628817822574,-0.0169448913768377,0.40842131590791,0.40842131590790987,0.11113584638682696,1.611834802439346,-0.5583419373446786,0,0,1,0,1,0,0,0,0,0,0,0,0,10
105,0.9505401572070874,-0.6306217169102535,-0.09387941659876976,-0.0938794165987698,0.38890491484242945,1.611834802439346,0.8607804906962053,0,0,1,0,0,1,0,0,0,0,0,0,0,9
106,-0.0015906463362051022,-1.5275340003821687,-1.538098494421636,-1.538098494421636,0.38890491484242945,1.611834802439346,1.8068621093901294,0,0,1,0,0,0,0,1,0,0,0,0,0,9
109,-0.36657412102780057,1.745409069129382,1.6756650524524244,1.6756650524524244,0.45834718195633006,-0.5394638061949537,1.8068621093901294,0,0,0,1,0,0,0,1,0,0,0,0,0,4
111,1.9502775009275446,-1.212827936006058,-0.7932140886868967,-0.7932140886868968,-1.4860362972328873,1.611834802439346,0.6242600860227253,0,0,1,0,0,0,0,0,0,0,1,0,0,16
116,-0.5728691284621806,1.0215851210643274,0.7260157890402532,0.7260157890402533,-0.999940427435583,-0.0016391540363787948,-0.5583419373446786,1,0,0,0,1,0,0,0,0,0,0,0,0,5
117,-0.017459493061926644,1.068791030720744,1.4085304906763054,1.4085304906763052,-0.999940427435583,1.611834802439346,-0.08530112799771662,0,0,1,0,0,0,0,0,0,0,0,0,1,5
119,0.1888355143724534,0.15614344403002314,0.5312802305143691,0.5312802305143691,-0.6527290918660799,-1.0772884583535287,0.15121927667576332,0,1,0,0,0,1,0,0,0,0,0,0,0,2
120,-0.5411314350107376,-0.0169448913768377,-0.18957564600312057,-0.1895756460031205,1.013885318867535,-1.0772884583535287,0.6242600860227253,0,1,0,0,0,0,0,0,0,1,0,0,0,8
122,0.617294375966935,-0.8981218716299475,-0.6156119162115732,-0.6156119162115732,0.38890491484242945,-0.5394638061949537,-0.5583419373446786,0,0,0,1,1,0,0,0,0,0,0,0,0,9
123,-1.0489345302338269,1.808350282004604,0.740641850302927,0.7406418503029271,-2.5276703039413966,-1.0772884583535287,-0.3218215326711976,0,1,0,0,0,0,0,0,0,1,0,0,0,6
124,-0.17614796031914207,1.6982031594729652,1.8985035429758745,1.898503542975874,0.38890491484242945,1.611834802439346,0.6242600860227253,0,0,1,0,0,0,0,0,0,0,1,0,0,11
126,-0.9537214498794977,-0.15856262034608748,-0.5828077502367193,-0.5828077502367193,-0.6527290918660799,-0.0016391540363787948,-0.08530112799771662,1,0,0,0,0,0,0,0,0,0,0,0,1,2
128,-0.6522133620907884,-0.9767983877239752,-1.1019284531954738,-1.1019284531954738,-1.4860362972328873,-1.0772884583535287,0.38773968134924436,0,1,0,0,0,0,0,0,0,0,0,0,1,15
130,-0.6680822088165099,-0.5676805040350313,-0.7535147795453538,-0.7535147795453538,0.31946264772852884,1.611834802439346,-1.7409439607120827,0,0,1,0,0,0,0,0,0,0,0,1,0,1
131,0.8870647703042013,0.014525715060773364,0.8547251281517818,0.8547251281517817,0.38890491484242945,1.611834802439346,-1.0313827466916408,0,0,1,0,0,0,0,0,0,0,0,0,1,13
132,-0.35070527430207904,-1.3544456649753078,-1.3887037258100403,-1.3887037258100403,1.013885318867535,-0.0016391540363787948,0.38773968134924436,1,0,0,0,0,1,0,0,0,0,0,0,0,8
134,0.1888355143724534,0.3921729923121061,0.819622581121365,0.8196225811213649,0.31946264772852884,-0.0016391540363787948,0.6242600860227253,1,0,0,0,0,0,0,0,1,0,0,0,0,1
135,0.966409003932809,-1.5275340003821687,-1.4743706560628436,-1.4743706560628433,1.3610966544370382,-1.0772884583535287,0.15121927667576332,0,1,0,0,0,0,1,0,0,0,0,0,0,0
136,-0.699819902267953,0.1876140504676342,-0.12647463884129972,-0.1264746388412998,-0.999940427435583,1.611834802439346,-0.08530112799771662,0,0,1,0,0,1,0,0,0,0,0,0,0,5
139,-0.5887379751879022,0.9114379985326887,0.6093207145373495,0.6093207145373493,-0.6527290918660799,-1.0772884583535287,1.8068621093901294,0,1,0,0,0,0,0,1,0,0,0,0,0,2
140,1.4107367122530121,-1.5117986971633632,-1.4178513764692258,-1.4178513764692255,1.3610966544370382,-0.5394638061949537,0.15121927667576332,0,0,0,1,0,1,0,0,0,0,0,0,0,0
142,1.3631301720758475,0.2662905665616619,1.6244738380330666,1.6244738380330663,1.3610966544370382,-0.0016391540363787948,0.6242600860227253,1,0,0,0,0,0,1,0,0,0,0,0,0,0
144,-0.017459493061926644,0.5495260245001614,0.8189957499243933,0.8189957499243933,-1.4860362972328873,-0.0016391540363787948,0.6242600860227253,1,0,0,0,0,0,0,0,0,0,1,0,0,15
146,0.8394582301270367,-0.9767983877239752,-0.6600124593304041,-0.6600124593304041,1.3610966544370382,-0.0016391540363787948,-0.5583419373446786,1,0,0,0,1,0,0,0,0,0,0,0,0,0
147,-1.0648033769595484,0.32923177943688403,-0.3136882230035231,-0.3136882230035232,-1.4860362972328873,1.611834802439346,-1.7409439607120827,0,0,1,0,0,0,0,0,0,0,0,1,0,15
148,2.2041790485390895,-1.3072397553188913,-0.9380120951873664,-0.9380120951873663,0.7361162504119325,1.611834802439346,0.6242600860227253,0,0,1,0,0,0,0,0,0,0,1,0,0,12
151,1.7915890336703293,-1.5275340003821687,-1.4200452856586268,-1.4200452856586268,1.3610966544370382,-0.0016391540363787948,-1.0313827466916408,1,0,0,0,0,0,0,0,0,0,0,0,1,0
154,-0.7950329826222823,-0.03268019459564323,-0.37950549868555483,-0.3795054986855549,-0.6527290918660799,-0.5394638061949537,0.15121927667576332,0,0,0,1,0,0,0,0,0,1,0,0,0,2
155,-0.7791641358965606,-0.14282731712728194,-0.4584862295039928,-0.4584862295039928,0.18057811350072758,-1.0772884583535287,-1.7409439607120827,0,1,0,0,0,0,0,0,0,0,0,1,0,14
157,-0.699819902267953,0.06173162471718996,-0.23345382979114168,-0.2334538297911416,0.45834718195633006,-0.0016391540363787948,-1.2679031513651207,1,0,0,0,0,0,0,0,0,1,0,0,0,4
158,2.251785588716254,-0.9925336909427807,-0.27440680132662804,-0.27440680132662804,0.7361162504119325,1.611834802439346,0.38773968134924436,0,0,1,0,0,1,0,0,0,0,0,0,0,12
159,1.378999018801569,0.48658481162493933,2.016243336140398,2.0162433361403975,1.3610966544370382,-1.0772884583535287,0.15121927667576332,0,1,0,0,0,1,0,0,0,0,0,0,0,0
161,0.3792616750811119,0.9114379985326887,1.660830047457427,1.6608300474574265,0.31946264772852884,-0.0016391540363787948,-1.7409439607120827,1,0,0,0,0,0,0,0,0,0,0,1,0,1
164,1.553556332784506,-0.23723913644011516,0.8772910512427642,0.8772910512427639,0.38890491484242945,-0.0016391540363787948,0.6242600860227253,1,0,0,0,0,0,0,0,0,0,1,0,0,13
165,1.0933597777385813,-0.34738625897175385,0.42231607410745003,0.4223160741074498,1.3610966544370382,-1.0772884583535287,-0.7948623420181596,0,1,0,0,0,0,0,0,1,0,0,0,0,0
167,1.1885728580929107,-0.42606277506578155,0.34657397114003263,0.3465739711400324,1.3610966544370382,-0.5394638061949537,-0.08530112799771662,0,0,0,1,0,1,0,0,0,0,0,0,0,0
168,-0.1126725734162559,-0.6935629297854756,-0.6318050554666762,-0.6318050554666762,0.11113584638682696,-0.5394638061949537,0.6242600860227253,0,0,0,1,0,0,0,0,0,0,1,0,0,10
169,-1.2076229974910424,-0.9767983877239752,-1.2664716424005529,-1.2664716424005529,1.013885318867535,-0.5394638061949537,-0.3218215326711976,0,0,0,1,0,0,1,0,0,0,0,0,0,8
170,-0.8109018293480038,1.4779089144096877,0.8230701527047095,0.8230701527047092,0.45834718195633006,-0.5394638061949537,1.8068621093901294,0,0,0,1,0,0,0,1,0,0,0,0,0,4
171,-0.3348364275763575,-0.5047392911598092,-0.534646219936058,-0.5346462199360581,0.18057811350072758,1.611834802439346,0.15121927667576332,0,0,1,0,0,0,0,0,0,1,0,0,0,14
173,-0.23962334722202824,2.1545269528183257,2.2843181447119743,2.284318144711974,0.38890491484242945,1.611834802439346,0.6242600860227253,0,0,1,0,0,1,0,0,0,0,0,0,0,11
174,1.1568351646414674,-1.1341514199120304,-0.8219438518814344,-0.8219438518814344,-1.4860362972328873,-0.0016391540363787948,-1.2679031513651207,1,0,0,0,0,0,0,0,0,0,0,0,1,16
175,-0.7632952891708391,0.7855555727822444,0.31606818622074173,0.3160681862207415,-0.6527290918660799,-0.5394638061949537,0.15121927667576332,0,0,0,1,0,0,0,0,1,0,0,0,0,2
177,1.1727040113671892,-0.12709201390847644,0.826517724288054,0.8265177242880538,0.38890491484242945,1.611834802439346,-1.7409439607120827,0,0,1,0,0,0,0,0,0,0,0,1,0,13
179,0.25231090127533956,-0.9925336909427807,-0.8535988273285067,-0.8535988273285067,-0.6527290918660799,-1.0772884583535287,-1.7409439607120827,0,1,0,0,0,0,0,0,0,0,0,1,0,2
181,-0.318967580850636,-0.28444504609653176,-0.3044946987812711,-0.304494698781271,1.4999811886648393,-0.5394638061949537,-0.5583419373446786,0,0,0,1,1,0,0,0,0,0,0,0,0,3
182,0.09362243401812416,1.1474675468147717,1.6294884876088402,1.62948848760884,0.31946264772852884,-0.0016391540363787948,0.38773968134924436,1,0,0,0,0,0,0,0,0,0,0,0,1,1
183,-0.36657412102780057,-1.1026808134744195,-1.1418367060693406,-1.1418367060693406,1.013885318867535,-0.0016391540363787948,-0.5583419373446786,1,0,0,0,1,0,0,0,0,0,0,0,0,8
184,1.0616220842871382,-0.47326868472219813,0.20480564875825966,0.20480564875825943,0.38890491484242945,1.611834802439346,-0.5583419373446786,0,0,1,0,1,0,0,0,0,0,0,0,0,9
185,-1.3028360778453716,-1.1656220263496415,-1.4075086617191923,-1.4075086617191923,1.013885318867535,-0.0016391540363787948,-0.5583419373446786,1,0,0,0,1,0,0,0,0,0,0,0,0,8
187,-1.5884753189083594,-1.3387103617565024,-1.552306668219662,-1.5523066682196618,1.013885318867535,1.611834802439346,0.38773968134924436,0,0,1,0,0,0,0,0,1,0,0,0,0,8
188,0.49034360216116274,-1.5275340003821687,-1.50571221591143,-1.50571221591143,0.38890491484242945,-1.0772884583535287,-0.5583419373446786,0,1,0,0,1,0,0,0,0,0,0,0,0,13
191,-0.1126725734162559,-1.0082689941615863,-0.9765622138011277,-0.9765622138011278,-0.999940427435583,-0.0016391540363787948,0.6242600860227253,1,0,0,0,0,0,0,0,0,1,0,0,0,5
193,0.1888355143724534,0.9743792114079108,1.5308670459519547,1.5308670459519549,0.31946264772852884,-0.5394638061949537,-0.3218215326711976,0,0,0,1,0,0,1,0,0,0,0,0,0,1
195,1.3631301720758475,-0.7250335362230866,-0.0736118745633505,-0.07361187456335044,1.3610966544370382,-0.0016391540363787948,0.38773968134924436,1,0,0,0,0,0,0,0,0,0,0,0,1,0
196,0.4586059087097196,-0.33165095575294834,0.08811057425535589,0.08811057425535587,0.38890491484242945,1.611834802439346,0.38773968134924436,0,0,1,0,0,1,0,0,0,0,0,0,0,13
197,-0.5728691284621806,0.29776117299927296,0.07243979433106264,0.07243979433106262,-0.999940427435583,1.611834802439346,0.15121927667576332,0,0,1,0,0,0,0,0,0,0,0,0,1,5
198,0.39513052180683345,0.2820258697804674,0.8548296000179438,0.8548296000179436,1.4999811886648393,-1.0772884583535287,-0.5583419373446786,0,1,0,0,0,0,0,0,1,0,0,0,0,3
199,0.12536012746956723,0.2820258697804674,0.6328268844237894,0.6328268844237892,-0.6527290918660799,-0.5394638061949537,-0.3218215326711976,0,0,0,1,0,0,0,0,1,0,0,0,0,2
200,0.046015893840959526,0.5180554180625504,0.8417706167476995,0.8417706167476992,0.11113584638682696,-0.0016391540363787948,-0.3218215326711976,1,0,0,0,0,0,1,0,0,0,0,0,0,10
203,0.8870647703042013,-1.5275340003821687,-1.4795942493709413,-1.479594249370941,0.38890491484242945,-1.0772884583535287,0.38773968134924436,0,1,0,0,0,1,0,0,0,0,0,0,0,13
204,0.09362243401812416,1.4621736111908823,2.0014083311454,2.0014083311453996,-1.4860362972328873,-0.5394638061949537,-0.5583419373446786,0,0,0,1,1,0,0,0,0,0,0,0,0,15
205,-0.12854142014197745,0.9271733017514943,1.126351980172865,1.1263519801728648,-0.999940427435583,-0.0016391540363787948,-1.7409439607120827,1,0,0,0,0,0,0,0,0,0,0,1,0,5
206,0.10949128074384569,-1.5275340003821687,-1.5307854637902991,-1.5307854637902991,0.38890491484242945,-1.0772884583535287,0.6242600860227253,0,1,0,0,0,0,0,0,0,0,1,0,0,9
207,-0.4776560481078514,-0.2529744396589207,-0.3678046496754158,-0.3678046496754159,-0.0971909549548749,-0.5394638061949537,-0.5583419373446786,0,0,0,1,1,0,0,0,0,0,0,0,0,17
208,-0.08093487996481281,-0.12709201390847644,0.009443259035403752,0.009443259035403797,0.11113584638682696,-1.0772884583535287,-0.08530112799771662,0,1,0,0,0,1,0,0,0,0,0,0,0,10
209,-1.1282787638624345,-0.03268019459564323,-0.6098659635726656,-0.6098659635726658,0.18057811350072758,-0.5394638061949537,-0.5583419373446786,0,0,0,1,1,0,0,0,0,0,0,0,0,14
210,-0.46178720138212986,-1.2285632392248638,-1.2845452752465711,-1.2845452752465711,1.4999811886648393,1.611834802439346,0.38773968134924436,0,0,1,0,0,0,0,0,1,0,0,0,0,3
212,-0.3348364275763575,-0.31591565253414283,-0.3453431984505955,-0.3453431984505956,1.4999811886648393,-1.0772884583535287,1.8068621093901294,0,1,0,0,0,0,0,1,0,0,0,0,0,3
214,-0.5411314350107376,1.6195266433789377,1.309804577153258,1.3098045771532576,0.38890491484242945,-0.0016391540363787948,-1.0313827466916408,1,0,0,0,0,0,0,0,0,0,0,0,1,11
216,0.23644205454961803,-0.6620923233478645,-0.44793457102163536,-0.4479345710216354,1.4999811886648393,-1.0772884583535287,-0.5583419373446786,0,1,0,0,1,0,0,0,0,0,0,0,0,3
217,-0.8109018293480038,-1.1341514199120304,-1.275351751024319,-1.275351751024319,1.013885318867535,-1.0772884583535287,0.6242600860227253,0,1,0,0,0,1,0,0,0,0,0,0,0,8
218,0.17296666764673185,1.4464383079720768,2.0867618457997175,2.0867618457997175,0.31946264772852884,1.611834802439346,1.8068621093901294,0,0,1,0,0,0,0,1,0,0,0,0,0,1
219,-1.3028360778453716,1.6982031594729652,0.30374050601363106,0.3037405060136309,-2.5276703039413966,-0.5394638061949537,0.6242600860227253,0,0,0,1,0,0,0,0,0,0,1,0,0,6
220,-1.112409917136713,1.0215851210643274,0.11506431572514028,0.11506431572514023,0.45834718195633006,-1.0772884583535287,0.6242600860227253,0,1,0,0,0,0,0,0,1,0,0,0,0,4
221,-0.4459183546564083,-0.20576853000250409,-0.30365892385197546,-0.3036589238519754,0.31946264772852884,-0.0016391540363787948,-1.7409439607120827,1,0,0,0,0,0,0,0,0,0,0,1,0,1
222,1.6646382598645568,0.12467283759241209,1.6101611923688786,1.6101611923688783,-1.4860362972328873,-0.5394638061949537,0.6242600860227253,0,0,0,1,0,0,0,0,0,0,0,0,1,16
223,-0.5887379751879022,1.2418793661276049,0.905498455106492,0.9054984551064917,0.18057811350072758,-0.0016391540363787948,1.0973008953696874,1,0,0,0,0,0,1,0,0,0,0,0,0,14
224,-1.2076229974910424,-0.7407688394418922,-1.1160321551273378,-1.1160321551273378,-0.0971909549548749,-1.0772884583535287,0.38773968134924436,0,1,0,0,0,0,0,0,0,1,0,0,0,17
225,-0.16027911359342054,-0.11135671068967089,-0.02534587239652727,-0.02534587239652741,-0.6527290918660799,1.611834802439346,0.8607804906962053,0,0,1,0,0,0,0,0,1,0,0,0,0,2
227,-1.6519507058112455,0.6596731470318001,-0.6592811562672704,-0.6592811562672704,-0.3749600234104774,-0.0016391540363787948,0.38773968134924436,1,0,0,0,0,0,0,0,0,0,0,0,1,7
228,-0.46178720138212986,1.4149677015344657,1.2252868374282364,1.2252868374282364,0.18057811350072758,-0.0016391540363787948,-1.7409439607120827,1,0,0,0,0,0,0,0,0,0,0,1,0,14
229,-0.3348364275763575,-0.11135671068967089,-0.1402649251746778,-0.14026492517467792,0.31946264772852884,1.611834802439346,1.8068621093901294,0,0,1,0,0,0,0,1,0,0,0,0,0,1
230,-0.8109018293480038,1.2890852757840214,0.6713770030375508,0.6713770030375507,0.18057811350072758,1.611834802439346,-0.08530112799771662,0,0,1,0,0,0,0,0,0,1,0,0,0,14
