Flower Name,MRP (₹),Qty Sold (kg),Weather,Customer Segment,Revenue,Profit Margin,Sale Frequency,Weather Impact Score,Customer Segment Score
Geranium,165,43,Cloudy,Marriage,7095,1419.0,264,7,
Marigold,195,212,Cloudy,Daily Consumers,41340,8268.0,284,7,
Carnation,184,169,Windy,Festivals,31096,6219.200000000001,283,6,
Carnation,168,147,Cloudy,Daily Consumers,24696,4939.200000000001,283,7,
Calla Lily,258,61,Cloudy,Weddings,15738,3147.6000000000004,298,7,
Poppy,201,86,Sunny,Daily Consumers,17286,3457.2000000000003,284,10,
Geranium,136,126,Sunny,Weddings,17136,3427.2000000000003,264,10,
Dahlia,197,125,Rainy,Luxury Events,24625,4925.0,300,5,
Chrysanthemum,180,125,Windy,Luxury Events,22500,4500.0,269,6,
Lily,175,140,Cloudy,Festivals,24500,4900.0,280,7,
Chrysanthemum,129,67,Rainy,Luxury Events,8643,1728.6000000000001,269,5,
Gerbera,119,180,Windy,Corporate Events,21420,4284.0,242,6,7.0
Poppy,228,10,Rainy,Daily Consumers,2280,456.0,284,5,
Sunflower,178,200,Windy,Corporate Events,35600,7120.0,257,6,7.0
Geranium,164,166,Cloudy,Temple,27224,5444.8,264,7,6.0
Lavender,179,10,Rainy,Special Events,1790,358.0,284,5,8.0
Zinnia,142,91,Windy,Corporate Events,12922,2584.4,277,6,7.0
Lily,167,99,Rainy,Daily Consumers,16533,3306.6000000000004,280,5,
Rose,101,105,Windy,Corporate Events,10605,2121.0,281,6,7.0
Dahlia,143,29,Sunny,Luxury Events,4147,829.4000000000001,300,10,
Marigold,121,123,Windy,High-End Customers,14883,2976.6000000000004,284,6,9.0
Dahlia,151,87,Rainy,High-End Customers,13137,2627.4,300,5,9.0
Orchid,324,45,Sunny,Temple,14580,2916.0,289,10,6.0
Marigold,138,210,Cloudy,Weddings,28980,5796.0,284,7,
Orchid,339,17,Windy,Marriage,5763,1152.6000000000001,289,6,
Dahlia,187,65,Rainy,Corporate Events,12155,2431.0,300,5,7.0
Jasmine,121,35,Rainy,Daily Consumers,4235,847.0,293,5,
Carnation,183,199,Sunny,High-End Customers,36417,7283.400000000001,283,10,9.0
Gerbera,90,215,Windy,Special Events,19350,3870.0,242,6,8.0
Daisy,102,172,Rainy,Luxury Events,17544,3508.8,285,5,
Carnation,144,94,Cloudy,Temple,13536,2707.2000000000003,283,7,6.0
Tulip,277,115,Windy,Weddings,31855,6371.0,257,6,
Rose,135,186,Cloudy,Festivals,25110,5022.0,281,7,
Zinnia,96,60,Rainy,Marriage,5760,1152.0,277,5,
Chrysanthemum,162,100,Sunny,Luxury Events,16200,3240.0,269,10,
Sunflower,128,109,Windy,Luxury Events,13952,2790.4,257,6,
Hibiscus,68,149,Cloudy,Weddings,10132,2026.4,273,7,
Rose,143,197,Cloudy,Temple,28171,5634.200000000001,281,7,6.0
Carnation,151,100,Sunny,High-End Customers,15100,3020.0,283,10,9.0
Rose,121,189,Sunny,Marriage,22869,4573.8,281,10,
Marigold,129,230,Rainy,Special Events,29670,5934.0,284,5,8.0
Rose,159,194,Sunny,Marriage,30846,6169.200000000001,281,10,
Zinnia,75,111,Windy,High-End Customers,8325,1665.0,277,6,9.0
Dahlia,157,121,Sunny,Special Events,18997,3799.4,300,10,8.0
Chrysanthemum,111,66,Sunny,Festivals,7326,1465.2,269,10,
Poppy,193,99,Rainy,Special Events,19107,3821.4,284,5,8.0
Hibiscus,75,235,Cloudy,Temple,17625,3525.0,273,7,6.0
Marigold,152,193,Cloudy,Special Events,29336,5867.200000000001,284,7,8.0
Gerbera,82,103,Sunny,Luxury Events,8446,1689.2,242,10,
Dahlia,214,10,Rainy,Corporate Events,2140,428.0,300,5,7.0
Rose,136,188,Sunny,Weddings,25568,5113.6,281,10,
Daisy,106,68,Windy,Temple,7208,1441.6000000000001,285,6,6.0
Tulip,296,87,Sunny,Daily Consumers,25752,5150.400000000001,257,10,
Marigold,187,195,Rainy,Festivals,36465,7293.0,284,5,
Gerbera,152,251,Rainy,Corporate Events,38152,7630.400000000001,242,5,7.0
Lavender,239,82,Windy,Weddings,19598,3919.6000000000004,284,6,
Tulip,228,127,Sunny,Daily Consumers,28956,5791.200000000001,257,10,
Zinnia,134,137,Rainy,Special Events,18358,3671.6000000000004,277,5,8.0
Lavender,184,19,Sunny,Daily Consumers,3496,699.2,284,10,
Chrysanthemum,136,102,Sunny,Luxury Events,13872,2774.4,269,10,
Rose,164,142,Cloudy,Weddings,23288,4657.6,281,7,
Chrysanthemum,185,32,Windy,Weddings,5920,1184.0,269,6,
Poppy,257,10,Windy,Corporate Events,2570,514.0,284,6,7.0
Marigold,154,137,Cloudy,Festivals,21098,4219.6,284,7,
Tulip,245,10,Windy,Marriage,2450,490.0,257,6,
Jasmine,101,82,Sunny,Corporate Events,8282,1656.4,293,10,7.0
Geranium,137,126,Rainy,Festivals,17262,3452.4,264,5,
Carnation,166,136,Rainy,Temple,22576,4515.2,283,5,6.0
Sunflower,144,175,Rainy,Temple,25200,5040.0,257,5,6.0
Tulip,290,33,Cloudy,Corporate Events,9570,1914.0,257,7,7.0
Lavender,190,46,Sunny,Special Events,8740,1748.0,284,10,8.0
Calla Lily,224,133,Windy,Temple,29792,5958.400000000001,298,6,6.0
Orchid,291,27,Rainy,Corporate Events,7857,1571.4,289,5,7.0
Hibiscus,128,94,Windy,Temple,12032,2406.4,273,6,6.0
Carnation,184,129,Rainy,Special Events,23736,4747.2,283,5,8.0
Hibiscus,71,205,Cloudy,Luxury Events,14555,2911.0,273,7,
Geranium,111,55,Cloudy,Luxury Events,6105,1221.0,264,7,
Zinnia,134,100,Cloudy,Daily Consumers,13400,2680.0,277,7,
Rose,170,157,Windy,High-End Customers,26690,5338.0,281,6,9.0
Zinnia,146,205,Sunny,Corporate Events,29930,5986.0,277,10,7.0
Sunflower,148,128,Cloudy,Daily Consumers,18944,3788.8,257,7,
Jasmine,96,58,Cloudy,Marriage,5568,1113.6000000000001,293,7,
Lavender,194,29,Rainy,Luxury Events,5626,1125.2,284,5,
Gerbera,151,225,Windy,Weddings,33975,6795.0,242,6,
Calla Lily,256,53,Cloudy,Marriage,13568,2713.6000000000004,298,7,
Lily,220,16,Rainy,High-End Customers,3520,704.0,280,5,9.0
Geranium,150,141,Cloudy,Weddings,21150,4230.0,264,7,
Calla Lily,264,91,Sunny,Festivals,24024,4804.8,298,10,
Hibiscus,65,140,Rainy,High-End Customers,9100,1820.0,273,5,9.0
Sunflower,142,47,Windy,Corporate Events,6674,1334.8000000000002,257,6,7.0
Gerbera,149,172,Sunny,Daily Consumers,25628,5125.6,242,10,
Orchid,273,10,Cloudy,Corporate Events,2730,546.0,289,7,7.0
Orchid,333,68,Windy,Luxury Events,22644,4528.8,289,6,
Dahlia,164,68,Cloudy,Marriage,11152,2230.4,300,7,
Lavender,237,10,Windy,Festivals,2370,474.0,284,6,
Chrysanthemum,121,56,Sunny,Festivals,6776,1355.2,269,10,
Orchid,312,82,Sunny,Daily Consumers,25584,5116.8,289,10,
Calla Lily,273,28,Rainy,Luxury Events,7644,1528.8000000000002,298,5,
Chrysanthemum,189,168,Cloudy,Weddings,31752,6350.400000000001,269,7,
Lavender,235,18,Windy,High-End Customers,4230,846.0,284,6,9.0
Geranium,173,163,Sunny,Luxury Events,28199,5639.8,264,10,
Hibiscus,100,140,Cloudy,Temple,14000,2800.0,273,7,6.0
Jasmine,81,111,Sunny,Daily Consumers,8991,1798.2,293,10,
Chrysanthemum,150,116,Cloudy,High-End Customers,17400,3480.0,269,7,9.0
Jasmine,116,157,Sunny,Luxury Events,18212,3642.4,293,10,
Daisy,102,141,Windy,Luxury Events,14382,2876.4,285,6,
Chrysanthemum,182,144,Sunny,High-End Customers,26208,5241.6,269,10,9.0
Carnation,133,203,Cloudy,Marriage,26999,5399.8,283,7,
Sunflower,135,53,Cloudy,Daily Consumers,7155,1431.0,257,7,
Lily,164,81,Windy,Temple,13284,2656.8,280,6,6.0
Daisy,104,145,Cloudy,Festivals,15080,3016.0,285,7,
Tulip,292,93,Cloudy,Daily Consumers,27156,5431.200000000001,257,7,
Calla Lily,277,93,Sunny,Daily Consumers,25761,5152.200000000001,298,10,
Sunflower,148,72,Windy,Weddings,10656,2131.2000000000003,257,6,
Orchid,278,10,Windy,Temple,2780,556.0,289,6,6.0
Chrysanthemum,162,35,Rainy,Temple,5670,1134.0,269,5,6.0
Zinnia,127,155,Windy,Corporate Events,19685,3937.0,277,6,7.0
Zinnia,145,201,Windy,Festivals,29145,5829.0,277,6,
Lavender,205,10,Rainy,Temple,2050,410.0,284,5,6.0
Lily,166,16,Sunny,Special Events,2656,531.2,280,10,8.0
Hibiscus,84,236,Windy,High-End Customers,19824,3964.8,273,6,9.0
Sunflower,106,107,Windy,Corporate Events,11342,2268.4,257,6,7.0
Carnation,201,70,Windy,Weddings,14070,2814.0,283,6,
Calla Lily,279,107,Cloudy,Weddings,29853,5970.6,298,7,
Carnation,164,210,Windy,Luxury Events,34440,6888.0,283,6,
Daisy,100,73,Cloudy,Daily Consumers,7300,1460.0,285,7,
Lily,202,138,Sunny,Special Events,27876,5575.200000000001,280,10,8.0
Calla Lily,253,129,Cloudy,Marriage,32637,6527.400000000001,298,7,
Rose,169,222,Rainy,Daily Consumers,37518,7503.6,281,5,
Rose,96,208,Sunny,Festivals,19968,3993.6000000000004,281,10,
Rose,163,203,Windy,Festivals,33089,6617.8,281,6,
Lavender,246,108,Windy,Weddings,26568,5313.6,284,6,
Hibiscus,137,237,Sunny,Temple,32469,6493.8,273,10,6.0
Orchid,332,92,Cloudy,Daily Consumers,30544,6108.8,289,7,
Poppy,263,97,Rainy,Marriage,25511,5102.200000000001,284,5,
Daisy,93,202,Sunny,Corporate Events,18786,3757.2000000000003,285,10,7.0
Tulip,222,10,Rainy,High-End Customers,2220,444.0,257,5,9.0
Daisy,118,132,Windy,Daily Consumers,15576,3115.2000000000003,285,6,
Zinnia,115,157,Sunny,Weddings,18055,3611.0,277,10,
Lily,187,20,Cloudy,Corporate Events,3740,748.0,280,7,7.0
Sunflower,169,196,Rainy,Corporate Events,33124,6624.8,257,5,7.0
Tulip,297,71,Rainy,Temple,21087,4217.400000000001,257,5,6.0
Hibiscus,72,219,Sunny,Festivals,15768,3153.6000000000004,273,10,
Calla Lily,223,18,Cloudy,Marriage,4014,802.8000000000001,298,7,
Sunflower,136,51,Cloudy,Special Events,6936,1387.2,257,7,8.0
Poppy,270,32,Sunny,Marriage,8640,1728.0,284,10,
Zinnia,105,208,Windy,Corporate Events,21840,4368.0,277,6,7.0
Orchid,322,10,Windy,Festivals,3220,644.0,289,6,
Orchid,349,89,Rainy,Luxury Events,31061,6212.200000000001,289,5,
Marigold,123,211,Sunny,Marriage,25953,5190.6,284,10,
Poppy,219,10,Windy,Special Events,2190,438.0,284,6,8.0
Lily,151,156,Rainy,Corporate Events,23556,4711.2,280,5,7.0
Jasmine,97,173,Windy,Corporate Events,16781,3356.2000000000003,293,6,7.0
Rose,104,134,Cloudy,Luxury Events,13936,2787.2000000000003,281,7,
Marigold,131,134,Cloudy,Daily Consumers,17554,3510.8,284,7,
Daisy,96,144,Windy,Marriage,13824,2764.8,285,6,
Hibiscus,126,155,Cloudy,Corporate Events,19530,3906.0,273,7,7.0
Zinnia,108,202,Windy,Weddings,21816,4363.2,277,6,
Rose,94,155,Sunny,Corporate Events,14570,2914.0,281,10,7.0
Jasmine,141,131,Cloudy,Marriage,18471,3694.2000000000003,293,7,
Rose,157,208,Windy,Festivals,32656,6531.200000000001,281,6,
Geranium,110,122,Cloudy,Festivals,13420,2684.0,264,7,
Chrysanthemum,137,100,Cloudy,Corporate Events,13700,2740.0,269,7,7.0
Rose,97,79,Windy,Weddings,7663,1532.6000000000001,281,6,
Lavender,205,89,Windy,Special Events,18245,3649.0,284,6,8.0
Calla Lily,282,66,Sunny,High-End Customers,18612,3722.4,298,10,9.0
Geranium,178,109,Rainy,Weddings,19402,3880.4,264,5,
Lily,199,74,Windy,Corporate Events,14726,2945.2000000000003,280,6,7.0
Geranium,138,78,Rainy,Temple,10764,2152.8,264,5,6.0
Carnation,191,97,Cloudy,Corporate Events,18527,3705.4,283,7,7.0
Marigold,139,182,Sunny,Special Events,25298,5059.6,284,10,8.0
Orchid,302,10,Sunny,Corporate Events,3020,604.0,289,10,7.0
Orchid,317,59,Windy,Daily Consumers,18703,3740.6000000000004,289,6,
Orchid,291,105,Windy,Weddings,30555,6111.0,289,6,
Lavender,203,127,Cloudy,Special Events,25781,5156.200000000001,284,7,8.0
Daisy,153,124,Rainy,Festivals,18972,3794.4,285,5,
Poppy,246,10,Sunny,Special Events,2460,492.0,284,10,8.0
Sunflower,141,195,Sunny,Luxury Events,27495,5499.0,257,10,
Marigold,160,188,Cloudy,Luxury Events,30080,6016.0,284,7,
Marigold,140,207,Cloudy,Festivals,28980,5796.0,284,7,
Sunflower,158,154,Rainy,Special Events,24332,4866.400000000001,257,5,8.0
Tulip,220,10,Cloudy,Temple,2200,440.0,257,7,6.0
Geranium,125,151,Cloudy,Special Events,18875,3775.0,264,7,8.0
Daisy,112,186,Rainy,Weddings,20832,4166.400000000001,285,5,
Jasmine,147,121,Windy,Corporate Events,17787,3557.4,293,6,7.0
Tulip,288,49,Windy,Weddings,14112,2822.4,257,6,
Marigold,132,200,Rainy,Festivals,26400,5280.0,284,5,
Dahlia,159,138,Rainy,Daily Consumers,21942,4388.400000000001,300,5,
Lavender,220,65,Windy,Marriage,14300,2860.0,284,6,
Gerbera,134,201,Cloudy,Marriage,26934,5386.8,242,7,
Gerbera,126,167,Windy,Luxury Events,21042,4208.400000000001,242,6,
Gerbera,111,258,Rainy,Weddings,28638,5727.6,242,5,
Calla Lily,284,121,Cloudy,Daily Consumers,34364,6872.8,298,7,
Calla Lily,224,127,Sunny,Marriage,28448,5689.6,298,10,
Hibiscus,107,130,Rainy,Marriage,13910,2782.0,273,5,
Daisy,153,172,Sunny,High-End Customers,26316,5263.200000000001,285,10,9.0
